[00:00:00 -> 00:00:02]  Ich weiß, ich hab noch nie in meinem Leben so ein langes YouTube-Video hochgeladen.
[00:00:02 -> 00:00:03]  Was, Bruder?
[00:00:03 -> 00:00:04]  Nein, Schaluhkan, das wird kein Bollywood-Film.
[00:00:04 -> 00:00:09]  Auf jeden Fall wollte ich erst mal sagen, vielen Dank an 100.000 Abonnenten in nur 24 Stunden.
[00:00:09 -> 00:00:10]  Das zeigt mir, dass ihr Bock habt zu lernen.
[00:00:10 -> 00:00:11]  Motto.
[00:00:11 -> 00:00:12]  Danke an jeden Einzelnen von euch.
[00:00:12 -> 00:00:15]  Und ab sofort hat der Herr Halim auch einen Instagram-Account.
[00:00:15 -> 00:00:16]  Erster Link in der Beschreibung.
[00:00:16 -> 00:00:17]  Folgt ihm.
[00:00:17 -> 00:00:19]  Die Schuljahre gemeinsam überstehen.
[00:00:19 -> 00:00:22]  Jetzt erst mal viel Spaß mit dem Video.
[00:00:22 -> 00:00:22]  Bis dann.
[00:00:22 -> 00:00:23]  Ciao.
[00:00:23 -> 00:00:23]  Jo, Leute, was geht ab?
[00:00:23 -> 00:00:24]  Nächstes Thema.
[00:00:24 -> 00:00:26]  Heute geht's um Exponentialfunktion.
[00:00:26 -> 00:00:29]  Oder besser gesagt Exponentialfunktion mit der Basis A.
[00:00:30 -> 00:00:32]  Ganz einfach, wie ich bei Polynomfunktion gesagt habe.
[00:00:32 -> 00:00:34]  Ihr kennt die Exponentialfunktion sicherlich aus der Schule.
[00:00:34 -> 00:00:37]  Aber in der Grundform sieht die eigentlich ganz anders aus.
[00:00:37 -> 00:00:39]  Wie ihr das in der Schule kennt, ist da normalerweise immer E hoch irgendwas.
[00:00:39 -> 00:00:40]  Aber in diesem Fall ist das so.
[00:00:40 -> 00:00:44]  Ich will euch auch natürlich die Grundform zeigen der Exponentialfunktion.
[00:00:44 -> 00:00:45]  Wie ich bei Polynomfunktion auch gemacht habe.
[00:00:45 -> 00:00:46]  Woher kommt die eigentlich, Bruder?
[00:00:46 -> 00:00:49]  Auf jeden Fall wird das ein Thema in der Schule sein, wo ihr nicht drumherum kommt.
[00:00:49 -> 00:00:50]  Ihr müsst das machen.
[00:00:51 -> 00:00:52]  Ich bin hier, ich werde euch helfen.
[00:00:52 -> 00:00:57]  Ich habe wieder meine Standard-Gliederung aufgeschrieben, wie wir das bei Polynomfunktion auch gemacht haben.
