[00:00:00 -> 00:00:02]  It's 8pm.
[00:00:02 -> 00:00:05]  Noon din na sa class si Niko.
[00:00:05 -> 00:00:08]  My class is at 5pm pa.
[00:00:08 -> 00:00:11]  So he wakes up earlier than me.
[00:00:11 -> 00:00:13]  And then later,
[00:00:13 -> 00:00:15]  I'll be there.
[00:00:15 -> 00:00:17]  So I'll be there at 5pm.
[00:00:17 -> 00:00:19]  So I'll be there at 5pm.
[00:00:19 -> 00:00:21]  So I'll be there at 5pm.
[00:00:21 -> 00:00:23]  So I'll be there at 5pm.
[00:00:23 -> 00:00:25]  So I'll be there at 5pm.
[00:00:25 -> 00:00:27]  So I'll be there at 5pm.
[00:00:27 -> 00:00:29]  He wakes up earlier than me.
[00:00:29 -> 00:00:31]  And then later, I will study.
[00:00:31 -> 00:00:33]  Kasi I have a 5pm class.
[00:00:33 -> 00:00:35]  Kasi I have a 5pm class.
[00:00:35 -> 00:00:37]  So...
[00:00:37 -> 00:00:39]  Tutulog muna ako.
[00:00:39 -> 00:00:41]  Can I sleep again?
[00:00:41 -> 00:00:43]  Yeah.
[00:00:45 -> 00:00:47]  Okay guys.
[00:00:47 -> 00:00:49]  See you later!
[00:00:49 -> 00:00:57]  Baby, let's eat na.
[00:01:01 -> 00:01:03]  We're going to eat na guys.
[00:01:05 -> 00:01:07]  Para we have power.
[00:01:07 -> 00:01:09]  Cannot see because my...
[00:01:09 -> 00:01:11]  My glasses are broken.
[00:01:11 -> 00:01:13]  It's broken.
[00:01:13 -> 00:01:15]  First year na ba?
[00:01:15 -> 00:01:17]  I don't know what happened.
[00:01:17 -> 00:01:19]  I tried putting it ba?
[00:01:19 -> 00:01:21]  Kanina pero it's like...
[00:01:21 -> 00:01:23]  Natatanggal siya.
[00:01:23 -> 00:01:25]  Kailangan mo lang eat it.
[00:01:27 -> 00:01:29]  Baby, you eat.
[00:01:31 -> 00:01:33]  O, dami mo pinapagawa.
[00:01:37 -> 00:01:39]  Can we tell them?
[00:01:39 -> 00:01:41]  What's our plan today?
[00:01:41 -> 00:01:43]  What's our plan today?
[00:01:43 -> 00:01:45]  Thermology class.
[00:01:45 -> 00:01:47]  Medicine.
[00:01:47 -> 00:01:49]  I don't know my schedule.
[00:01:51 -> 00:01:53]  So me, what do I have?
[00:01:53 -> 00:01:55]  I have two classes today.
[00:01:55 -> 00:01:57]  I have Pearson.
[00:01:57 -> 00:01:59]  And then another minor after that.
[00:02:01 -> 00:02:03]  I'm gonna study in the morning.
[00:02:03 -> 00:02:05]  I studied na last night.
[00:02:05 -> 00:02:07]  Pero I have to memorize the stuff later.
[00:02:07 -> 00:02:09]  Nakatapos ko lang.
[00:02:09 -> 00:02:11]  Nagararo ba ako last night?
[00:02:11 -> 00:02:13]  No.
[00:02:13 -> 00:02:15]  Quiz kanina.
[00:02:15 -> 00:02:17]  Long quiz for medicine 2.
[00:02:17 -> 00:02:19]  Oh my god.
[00:02:19 -> 00:02:21]  Sobrang baba ako.
[00:02:21 -> 00:02:23]  Ilan? Five mistakes?
[00:02:23 -> 00:02:25]  No. I got 30 over 30.
[00:02:25 -> 00:02:27]  Ay gaga.
[00:02:27 -> 00:02:29]  Sakit.
[00:02:29 -> 00:02:31]  I hate you.
[00:02:31 -> 00:02:33]  Hindi ko lang alam if ma-flag ako.
[00:02:33 -> 00:02:35]  Ingay nung isa kanina.
[00:02:35 -> 00:02:37]  I was watching TikTok
[00:02:37 -> 00:02:39]  kasi when you were taking the quiz.
[00:02:39 -> 00:02:41]  Sabihin mo na lang yung aso mo
[00:02:41 -> 00:02:43]  Pahulang pahul.
[00:02:51 -> 00:02:53]  Okay guys. So we'll finish eating lang.
[00:02:53 -> 00:02:55]  I'll see you guys later.
[00:02:55 -> 00:02:57]  Bye bye guys. See you.
[00:02:57 -> 00:02:59]  Okay guys. We're done eating.
[00:02:59 -> 00:03:01]  Hindi yan si Mico. Si Chuchu yan.
[00:03:01 -> 00:03:03]  Hindi siya naging dog.
[00:03:03 -> 00:03:05]  Mico's in class na.
[00:03:05 -> 00:03:07]  And then I'll just finish my food.
[00:03:07 -> 00:03:09]  I'll take a nap.
[00:03:09 -> 00:03:11]  And then
[00:03:11 -> 00:03:13]  what will I do after?
[00:03:13 -> 00:03:15]  I will study for persons and then
[00:03:15 -> 00:03:17]  I'll have my class na.
[00:03:17 -> 00:03:19]  Ask ko lang din po kayo sir.
[00:03:21 -> 00:03:23]  Tanong ko lang yung mga
[00:03:23 -> 00:03:25]  dati nyo pong ano.
[00:03:25 -> 00:03:27]  Mayroon po ba kayo mga inom na gamot?
[00:03:27 -> 00:03:29]  Like mga prior treatment.
[00:03:29 -> 00:03:31]  Mayroon po ba?
[00:03:31 -> 00:03:33]  Once a day po siya.
[00:03:33 -> 00:03:35]  Okay po.
[00:03:35 -> 00:03:37]  Ano po.
[00:03:37 -> 00:03:39]  Mga lab results nyo po dati.
[00:03:39 -> 00:03:41]  Like mga napagawa nyo po sa laboratory.
[00:03:41 -> 00:03:43]  Mga test nyo.
[00:03:43 -> 00:03:45]  Kamusta naman po yung mga results?
[00:03:47 -> 00:03:49]  Why?
[00:03:49 -> 00:03:51]  Nice one.
[00:03:53 -> 00:03:55]  Hindi mo tinanong kung may lab like siya?
[00:03:55 -> 00:03:57]  Tinanong.
[00:03:57 -> 00:03:59]  Single siya.
[00:03:59 -> 00:04:01]  Ay legit patient ba yun?
[00:04:01 -> 00:04:03]  Ay legit patient ba yun?
[00:04:03 -> 00:04:05]  Legit patient?
[00:04:05 -> 00:04:07]  Nakala ko siya may legitimate.
[00:04:19 -> 00:04:21]  Hey what is up guys?
[00:04:21 -> 00:04:23]  So I just woke up.
[00:04:23 -> 00:04:25]  So na I'm going to sleep.
[00:04:25 -> 00:04:27]  Niko's over there.
[00:04:27 -> 00:04:29]  He overslept.
[00:04:29 -> 00:04:31]  Late siya nagising.
[00:04:31 -> 00:04:33]  Hito ka na tapos.
[00:04:33 -> 00:04:35]  He's doing his report right now.
[00:04:35 -> 00:04:37]  Which he's late for.
[00:04:37 -> 00:04:39]  Oh my god.
[00:04:39 -> 00:04:41]  Alaka na ng pimple ko.
[00:04:41 -> 00:04:43]  So anyway.
[00:04:43 -> 00:04:45]  He's doing his report there.
[00:04:45 -> 00:04:47]  While I'm going to study here.
[00:04:47 -> 00:04:49]  That's what I always do.
[00:04:49 -> 00:04:51]  I always start with the codals.
[00:04:51 -> 00:04:53]  Whenever you study you start with the codals.
