[00:00:00 -> 00:00:01]  Was ist die Ableitung?
[00:00:01 -> 00:00:04]  Und noch wichtiger, wie macht man die Ableitung?
[00:00:04 -> 00:00:08]  Falls euch mindestens eine von den beiden Fragen beschäftigt, dann seid ihr hier genau
[00:00:08 -> 00:00:09]  richtig.
[00:00:09 -> 00:00:19]  Toll wär's hier überhaupt mal zu wissen, was zum Ersch ist eigentlich eine Ableitung.
[00:00:19 -> 00:00:22]  Wir fangen deshalb mal ganz vorne an.
[00:00:22 -> 00:00:23]  Also fast.
[00:00:23 -> 00:00:25]  Jan ist mit Kumpels unterwegs.
[00:00:25 -> 00:00:28]  Sie fahren einen ziemlich krassen Berg hoch.
[00:00:28 -> 00:00:30]  Jo, da haben die Motoren ziemlich was zu schaffen.
[00:00:30 -> 00:00:31]  Aber warum denn?
[00:00:31 -> 00:00:36]  Logisch, weil's steil hoch geht und nicht einfach topfeben ist.
[00:00:36 -> 00:00:40]  Würde Jan ne Wasserwaage nehmen, würde die ihm direkt den Mittelfinger zeigen, wenn sie
[00:00:40 -> 00:00:41]  könnte.
[00:00:41 -> 00:00:43]  Unmöglich, dass da die Blase in der Mitte bleibt.
[00:00:43 -> 00:00:46]  Aber wie steil ist denn steil eigentlich?
[00:00:46 -> 00:00:48]  Jan hat gerade erst ne Mathe-Klausur geschrieben.
[00:00:48 -> 00:00:53]  Deshalb hat er noch voll die Mathe im Kopf und sieht den Berghang direkt als Funktion
[00:00:53 -> 00:00:54]  vor sich.
[00:00:54 -> 00:00:59]  Fällt auf, die Steigung von der Funktion wird immer größer, je weiter sie nach rechts
[00:00:59 -> 00:01:00]  fahren.
[00:01:00 -> 00:01:05]  Kann er jetzt irgendwie ausrechnen, wie steil es genau da ist, wo sie gerade fahren?
[00:01:05 -> 00:01:08]  Jap, kann er, mit der Ableitung, weil?
[00:01:08 -> 00:01:11]  Die Ableitung ist in Mathe die Steigung von der Funktion.
[00:01:11 -> 00:01:15]  Die gibt also an jeder Stelle an, wie steil es gerade ist.
[00:01:15 -> 00:01:18]  Schreiben tut man die mit dem gleichen Namen wie die Funktion.
[00:01:18 -> 00:01:20]  Nur mit so nem Strich dran.
[00:01:20 -> 00:01:21]  Hier also F-Strich.
[00:01:22 -> 00:01:26]  Eine kleine Sache am Rand, wenn die Funktion höher wird, wenn man nach rechts geht, dann
[00:01:26 -> 00:01:28]  hat man ne positive Steigung.
