[00:00:00 -> 00:00:23]  Music
[00:00:24 -> 00:00:26]  He's pretty good with those.
[00:00:26 -> 00:00:28]  He is, very good.
[00:00:28 -> 00:00:31]  My name is Kyle and I'm the northern flicker.
[00:00:31 -> 00:00:36]  And run if your bird forages on the ground.
[00:00:36 -> 00:00:39]  Forages on the ground.
[00:00:39 -> 00:00:43]  My name is Great Horned Owl Thomas.
[00:00:43 -> 00:00:49]  And my bird comes out in the daytime in winter.
[00:00:49 -> 00:00:53]  So run if your bird comes out during the day.
[00:00:53 -> 00:00:55]  Yeah.
[00:00:56 -> 00:00:59]  The name Black-capped Chickadee must mean it has a black head.
[00:00:59 -> 00:01:01]  So it has a black head.
[00:01:01 -> 00:01:04]  And the eyes are black so the eyes are hard to see.
[00:01:04 -> 00:01:07]  And run if your bird is a bird.
[00:01:11 -> 00:01:13]  Ed Wing Blackbird again.
[00:01:13 -> 00:01:15]  Bird lays eggs. Run.
[00:01:15 -> 00:01:16]  Wait, what?
[00:01:16 -> 00:01:17]  Lays eggs.
[00:01:17 -> 00:01:19]  My bird is the Red-tailed Hop.
[00:01:19 -> 00:01:24]  And it preys on about anything that it can eat.
[00:01:25 -> 00:01:29]  And if it has to, it will eat small domestic dogs and cats.
[00:01:31 -> 00:01:33]  Like Rosie's dog.
[00:01:36 -> 00:01:40]  And run if your bird has a really loud screech.
[00:01:41 -> 00:01:43]  I'm not sure about screech.
[00:01:44 -> 00:01:46]  Can't you hear that?
[00:01:47 -> 00:01:49]  Great Blue Heron Michael.
[00:01:49 -> 00:01:51]  And I haven't been given any facts.
[00:01:52 -> 00:01:56]  So the Great Blue Heron is a master of the stalk.
[00:01:56 -> 00:02:01]  And it waits sometimes for hours in big stillness by the water's edge.
[00:02:01 -> 00:02:04]  And it can peck at fish or small mammals.
[00:02:04 -> 00:02:06]  Sometimes insects.
[00:02:06 -> 00:02:12]  Run if your bird migrates for the winter.
[00:02:12 -> 00:02:14]  Billy, this is yours.
[00:02:14 -> 00:02:15]  This is yours.
[00:02:45 -> 00:02:47]  You did it again.
[00:03:04 -> 00:03:06]  Kind of like you, Wes.
[00:03:06 -> 00:03:08]  Do it kind of like that.
[00:03:09 -> 00:03:10]  But I can't whistle.
[00:03:10 -> 00:03:11]  Yeah, he can't.
[00:03:11 -> 00:03:13]  He can't whistle.
[00:03:15 -> 00:03:16]  There it is.
[00:03:16 -> 00:03:18]  Small problem.
[00:03:18 -> 00:03:20]  That's a nice one.
[00:03:20 -> 00:03:21]  Thank you.
[00:03:21 -> 00:03:22]  Yeah.
[00:03:22 -> 00:03:24]  Yeah, it's a little bigger.
[00:03:24 -> 00:03:25]  Yeah.
[00:03:25 -> 00:03:26]  Yeah.
[00:03:26 -> 00:03:28]  You have to be careful.
[00:03:28 -> 00:03:29]  Yeah.
[00:03:29 -> 00:03:31]  Good job, Christian.
[00:03:31 -> 00:03:32]  Thanks.
[00:03:32 -> 00:03:33]  All right.
[00:03:33 -> 00:03:34]  Thank you, man.
[00:03:40 -> 00:03:42]  All right, see you.
[00:03:42 -> 00:03:43]  Get it?
[00:03:43 -> 00:03:44]  Yeah.
[00:03:44 -> 00:03:45]  Good job, Michael.
[00:03:45 -> 00:03:46]  Nice.
[00:03:46 -> 00:03:47]  Another one.
[00:03:47 -> 00:03:48]  Same spot.
[00:03:48 -> 00:03:49]  Okay.
[00:03:50 -> 00:03:51]  Now there's one pole missing right here.
[00:03:51 -> 00:03:52]  Yeah.
[00:03:52 -> 00:03:53]  Let me tie that.
[00:03:53 -> 00:03:54]  See the teepee.
[00:03:54 -> 00:03:55]  It's a little bit off.
[00:03:55 -> 00:03:56]  Get it?
[00:03:56 -> 00:03:57]  Yeah.
[00:03:57 -> 00:03:58]  Oh, yeah.
[00:03:58 -> 00:03:59]  Okay.
[00:03:59 -> 00:04:00]  Got it.
[00:04:00 -> 00:04:01]  Got it.
[00:04:01 -> 00:04:02]  Yeah.
[00:04:02 -> 00:04:03]  Get it, Michael.
[00:04:03 -> 00:04:04]  Yeah.
[00:04:04 -> 00:04:05]  You got it.
