[00:00:00 -> 00:00:01]  Mathe
[00:00:01 -> 00:00:05]  Der Endpaus in der Schule, die Wurzel des Bösen, vor allem weil das Zeichen hier keiner
[00:00:05 -> 00:00:06]  so richtig mag.
[00:00:06 -> 00:00:07]  Die Wurzel.
[00:00:07 -> 00:00:10]  Egal was man damit macht, immer ist irgendwas falsch.
[00:00:10 -> 00:00:15]  Zuerst mal, was macht nochmal die Wurzel?
[00:00:15 -> 00:00:17]  Die Wurzel ist das Gegenteil vom Quadrat.
[00:00:17 -> 00:00:20]  5 hoch 2 ist 25.
[00:00:20 -> 00:00:23]  Die Wurzel von 25 ist dann wieder 5.
[00:00:23 -> 00:00:24]  Geht umgekehrt genauso.
[00:00:24 -> 00:00:27]  Also wenn ihr die Wurzel von 9 zieht, kriegt ihr ja 3 raus.
[00:00:27 -> 00:00:31]  Wenn ihr jetzt 3 hoch 2 rechnet, habt ihr wieder die 9.
[00:00:31 -> 00:00:35]  Jetzt gibt es aber noch 6 wichtige Sachen, die man bei Wurzelrechnen beachten muss.
[00:00:35 -> 00:00:36]  Wow.
[00:00:36 -> 00:00:37]  1.
[00:00:37 -> 00:00:40]  Die Wurzel kann nur von Zahlen größer oder gleich 0 gezogen werden.
[00:00:40 -> 00:00:43]  Negative Zahlen unter der Wurzel, da kommt nix raus.
[00:00:43 -> 00:00:45]  Das hat einfach keine Lösung.
[00:00:45 -> 00:00:46]  Warum?
[00:00:46 -> 00:00:51]  Das liegt daran, dass keine Zahl hoch 2 eine negative Zahl gibt, weil Minus mal Minus gibt
[00:00:51 -> 00:00:52]  Plus.
[00:00:52 -> 00:00:54]  Es ist also jede Quadratzahl positiv.
[00:00:54 -> 00:00:56]  Wie die beiden hier.
[00:00:56 -> 00:01:00]  Minus 1 hoch 2 ist 1 und Minus 4 hoch 2 ist 16.
[00:01:00 -> 00:01:01]  Beides positiv.
[00:01:01 -> 00:01:04]  Zahlen unter 0 sind also keine Quadratzahlen.
[00:01:04 -> 00:01:06]  Also kann man auch keine Wurzel ziehen.
[00:01:06 -> 00:01:10]  Das Ergebnis der Wurzel ist immer größer oder gleich 0.
[00:01:10 -> 00:01:11]  Das ist ganz wichtig.
[00:01:11 -> 00:01:15]  Ihr habt ja gerade gesehen, dass Minus mal Minus Plus gibt.
[00:01:15 -> 00:01:18]  Das heißt aber auch, dass bei den beiden hier das gleiche rauskommt.
[00:01:18 -> 00:01:21]  Wenn man 3 hoch 2 rechnet, kommt 9 raus.
[00:01:21 -> 00:01:24]  Aber das kommt ja auch raus, wenn man Minus 3 hoch 2 rechnet.
[00:01:25 -> 00:01:29]  Die Wurzel von 9 ist aber nur die 3, ist also festgelegt worden.
[00:01:29 -> 00:01:33]  Trotzdem müsst ihr das ganze im Hinterkopf behalten, ist nämlich wichtig, wenn ihr quadratische
[00:01:33 -> 00:01:34]  Gleichungen löst.
