[00:00:00 -> 00:00:04]  Ben Franklin said, when we fail to plan, we plan to fail.
[00:00:04 -> 00:00:08]  We're going to turn reference photos into detailed plans for structure building
[00:00:08 -> 00:00:11]  on Ron's Trains and Things, right now!
[00:00:11 -> 00:00:31]  Hi, I'm Ron of Ron's Trains and Things, and welcome to the show.
[00:00:31 -> 00:00:35]  Over the past several weeks, we've been working our way up to a scratch building project
[00:00:35 -> 00:00:37]  that I'm going to share with you.
[00:00:37 -> 00:00:42]  And in the process, we have talked about finding reference photos and sources for those photos.
[00:00:42 -> 00:00:46]  We've talked about turning those photos into mockups and placeholders for your layout,
[00:00:46 -> 00:00:50]  and to help you in your scratch building and kit bashing projects.
[00:00:50 -> 00:00:54]  Today, we're going to take some of those reference photos and turn them into detailed plans
[00:00:54 -> 00:00:59]  that will help you as you do your scratch building or kit bashing project.
[00:00:59 -> 00:01:04]  We're going to start over at the computer and talk about how to turn your photographs into scale photographs.
[00:01:04 -> 00:01:09]  Then we're going to go over to the workbench and turn those scale photos into detailed plans
[00:01:09 -> 00:01:12]  that will help us step-by-step along the way as we build.
[00:01:12 -> 00:01:16]  So, let's get over to the computer and get started.
[00:01:16 -> 00:01:21]  In a previous video, I showed you some sources both on and off the internet
[00:01:21 -> 00:01:26]  to find reference photos to help turn into plans for your building projects.
[00:01:26 -> 00:01:32]  At this point, I'm going to assume that you have reference photos that you can use to build your plans from.
[00:01:32 -> 00:01:39]  Now, you may have hard copies of photos, and if that's the case, there are a couple of things that you can do.
[00:01:39 -> 00:01:44]  Ideally, you want to turn those hard copies into digital photos.
[00:01:44 -> 00:01:50]  You can do that by using your multifunction printer and scanning them into a file in your computer.
[00:01:50 -> 00:01:59]  Or, you can use your phone to take a photo of your reference photo and then email it to yourself
[00:01:59 -> 00:02:02]  or transfer it to your computer by Bluetooth.
[00:02:02 -> 00:02:09]  Once I have my reference photo, I'm going to get it into a photo editor like I have here,
[00:02:09 -> 00:02:11]  and I want to do a couple of things to it.
[00:02:11 -> 00:02:15]  I want to make sure that I've got a good, head-on, square picture.
[00:02:15 -> 00:02:21]  And I want to crop that photo down to where it includes all of the building, but just the building.
[00:02:21 -> 00:02:26]  Now, at this point, I take my picture into a page editor.
[00:02:26 -> 00:02:33]  I have Microsoft Office Publisher, and here is that same photo that I had pulled into Publisher.
[00:02:33 -> 00:02:41]  And in Publisher, I can size the box with that photo in it to exactly the size that I want.
