[00:00:00 -> 00:00:01]  Well, welcome everyone.
[00:00:01 -> 00:00:05]  It's so great to have you all joining us this evening.
[00:00:05 -> 00:00:08]  And we're so excited for the opportunity
[00:00:08 -> 00:00:09]  to present to you tonight.
[00:00:09 -> 00:00:13]  I'm preparing for those pharmacology questions
[00:00:13 -> 00:00:16]  that are on both your nursing exams and on the NCLEX.
[00:00:16 -> 00:00:18]  So here we have a little agenda.
[00:00:18 -> 00:00:20]  And in tonight's session,
[00:00:20 -> 00:00:24]  we will practice answering pharmacology test questions
[00:00:24 -> 00:00:28]  and we will review rationales and strategies.
[00:00:28 -> 00:00:31]  We've selected practice questions
[00:00:31 -> 00:00:34]  based on common prescribed meds
[00:00:34 -> 00:00:39]  and what we know you will most likely be asked on NCLEX.
[00:00:39 -> 00:00:41]  So on this next slide,
[00:00:41 -> 00:00:45]  let's start by reviewing some general medication guidelines.
[00:00:45 -> 00:00:48]  So first, medication absorption,
[00:00:48 -> 00:00:52]  distribution, metabolism, and excretion
[00:00:52 -> 00:00:56]  are affected by age and physiological processes.
[00:00:56 -> 00:01:00]  So it's important to remember that the older client
[00:01:00 -> 00:01:02]  and the neonate and infant
[00:01:02 -> 00:01:07]  are at greater risk for toxicity than an adult is.
[00:01:07 -> 00:01:09]  This is an important point.
[00:01:09 -> 00:01:13]  If there is an age specified in a question,
[00:01:13 -> 00:01:16]  be sure that you pay attention to the age
[00:01:16 -> 00:01:18]  and think about physiological processes
[00:01:18 -> 00:01:22]  related to growth and development and aging.
[00:01:22 -> 00:01:26]  So next, antacids are not usually administered
[00:01:26 -> 00:01:29]  with medication because the antacid
[00:01:29 -> 00:01:32]  will affect the absorption of the med.
[00:01:32 -> 00:01:35]  So don't select the option that indicates
[00:01:35 -> 00:01:39]  giving the client an antacid with the medication
[00:01:39 -> 00:01:43]  or within two hours of medication administration.
[00:01:43 -> 00:01:47]  Next, grapefruit juice is not usually administered
[00:01:47 -> 00:01:50]  with medication because it contains a substance
[00:01:50 -> 00:01:53]  that will impede the absorption of the med.
[00:01:53 -> 00:01:57]  So don't select grapefruit or grapefruit juice
[00:01:57 -> 00:01:59]  as an option if the question asks
[00:01:59 -> 00:02:04]  what you should give when administering a medication.
[00:02:04 -> 00:02:07]  Enteric-coated and sustained-release tablets
[00:02:07 -> 00:02:09]  should not be crushed,
[00:02:09 -> 00:02:12]  and also capsules should not be opened.
[00:02:12 -> 00:02:15]  So if you have a question about a client
[00:02:15 -> 00:02:17]  who has difficulty swallowing,
[00:02:17 -> 00:02:21]  remember your best action is to see
[00:02:21 -> 00:02:24]  if you can obtain a liquid form of the medication,
[00:02:24 -> 00:02:27]  and if not, consult with the pharmacy
[00:02:27 -> 00:02:29]  about an appropriate form of action
[00:02:29 -> 00:02:34]  as far as crushing tablets or opening capsules.
[00:02:34 -> 00:02:38]  Okay, so Angie's going to take over on this next slide.
[00:02:38 -> 00:02:40]  Great, thank you, Linda.
[00:02:40 -> 00:02:43]  Hi, everybody. You're welcome.
[00:02:43 -> 00:02:45]  Okay, so just a few more guidelines,
[00:02:45 -> 00:02:48]  and then we'll show you how to access
[00:02:48 -> 00:02:52]  pharmacology and practice questions for pharmacology
[00:02:52 -> 00:02:55]  in the Evolve resources.
[00:02:55 -> 00:02:58]  So some general guidelines.
[00:02:58 -> 00:03:01]  Nursing interventions always include
[00:03:01 -> 00:03:03]  monitoring for intended effects,
[00:03:03 -> 00:03:07]  side effects, adverse effects,
[00:03:07 -> 00:03:10]  or toxic effects of the medication.
[00:03:10 -> 00:03:14]  You want to focus on what the question is asking you.
[00:03:14 -> 00:03:17]  Is the question asking about an intended effect
[00:03:17 -> 00:03:21]  a side effect, an adverse effect, or a toxic effect?
[00:03:21 -> 00:03:23]  Because that will make a difference
[00:03:23 -> 00:03:26]  in how you're going to answer the question.
[00:03:26 -> 00:03:29]  So let's break this down a bit further.
[00:03:29 -> 00:03:32]  An intended effect is the therapeutic effect
[00:03:32 -> 00:03:34]  that you want to happen.
[00:03:34 -> 00:03:38]  For example, the intended effect of an antihypertensive
[00:03:38 -> 00:03:41]  is to lower the blood pressure.
[00:03:41 -> 00:03:46]  A side effect is one that can occur from a medication.
[00:03:46 -> 00:03:48]  It's not usually directly harmful
[00:03:48 -> 00:03:51]  and can often be prevented.
[00:03:51 -> 00:03:53]  So for example, if you know that
[00:03:53 -> 00:03:56]  codeine can cause constipation,
[00:03:56 -> 00:03:59]  then stool softeners would be important
[00:03:59 -> 00:04:01]  as well as teaching the client
[00:04:01 -> 00:04:05]  about the importance of fluids and a high-fiber diet.
[00:04:05 -> 00:04:09]  And so again, a side effect is not directly harmful.
[00:04:09 -> 00:04:12]  It's more annoying than anything else.
[00:04:12 -> 00:04:15]  Another example would be with your ACE inhibitors.
[00:04:15 -> 00:04:19]  Cough is an annoying side effect, but it's not harmful,
[00:04:19 -> 00:04:22]  but sometimes annoying to the point in which
[00:04:22 -> 00:04:25]  the physician would need to change the medication
[00:04:25 -> 00:04:26]  to a different one.
[00:04:27 -> 00:04:31]  And then talking about adverse and toxic effects,
[00:04:31 -> 00:04:33]  these are very much unwanted
[00:04:33 -> 00:04:35]  and they can be life-threatening.
[00:04:35 -> 00:04:37]  For example, an adverse effect
[00:04:37 -> 00:04:40]  could be an allergic response to a medication.
[00:04:40 -> 00:04:44]  And so you'd want to stop or withhold that medication
[00:04:44 -> 00:04:46]  and report that event.
[00:04:46 -> 00:04:50]  And then a toxic effect produces signs and symptoms,
[00:04:50 -> 00:04:52]  but is also monitored potentially
[00:04:52 -> 00:04:55]  via a laboratory test perhaps.
[00:04:55 -> 00:04:58]  For example, in digoxin toxicity,
[00:04:58 -> 00:05:01]  the client may experience GI disturbances
[00:05:01 -> 00:05:04]  such as anorexia, nausea, or vomiting,
[00:05:04 -> 00:05:07]  or possibly visual disturbances.
[00:05:07 -> 00:05:11]  And this would alert you as the nurse of a problem
[00:05:11 -> 00:05:15]  and it may lead you to suspect toxicity.
[00:05:15 -> 00:05:19]  Then the digoxin level lab results will show
[00:05:19 -> 00:05:23]  that the digoxin blood level is greater than two
[00:05:23 -> 00:05:24]  in conventional units,
[00:05:24 -> 00:05:27]  thus indicating or confirming the toxicity.
[00:05:28 -> 00:05:31]  The nurse or client should never adjust
[00:05:31 -> 00:05:33]  or change a medication dose,
[00:05:33 -> 00:05:35]  abruptly stop taking a medication
[00:05:35 -> 00:05:37]  or discontinue a medication.
[00:05:37 -> 00:05:40]  The nurse may withhold a medication
[00:05:40 -> 00:05:43]  if they suspect that the client is experiencing
[00:05:43 -> 00:05:47]  an adverse or a toxic effect of a medication,
[00:05:47 -> 00:05:51]  but then the nurse should immediately contact the physician
[00:05:51 -> 00:05:54]  if either of these effects occurs.
[00:05:54 -> 00:05:54]  So for example,
[00:05:54 -> 00:05:59]  if you know the signs of digoxin toxicity in your client,
[00:06:00 -> 00:06:04]  and your client is due for their next dose of digoxin,
[00:06:04 -> 00:06:05]  you would withhold that medication
[00:06:05 -> 00:06:08]  until you did a further assessment
[00:06:08 -> 00:06:11]  and you determine the cause of the client's symptoms.
[00:06:11 -> 00:06:15]  And then the nurse may also withhold the medication as well
[00:06:15 -> 00:06:17]  if specific parameters are prescribed
[00:06:17 -> 00:06:19]  and withholding that medication
[00:06:19 -> 00:06:22]  is indicated based on those parameters.
[00:06:22 -> 00:06:24]  An example of this might be
[00:06:24 -> 00:06:27]  if the physician wrote to hold metoprolol,
[00:06:27 -> 00:06:29]  which is a beta blocker,
[00:06:29 -> 00:06:32]  for a systolic blood pressure below 90.
[00:06:33 -> 00:06:38]  In general, the client needs to avoid consuming alcohol
[00:06:38 -> 00:06:40]  and avoid smoking.
[00:06:40 -> 00:06:42]  So no smoking, no use of alcohol
[00:06:42 -> 00:06:44]  when you're answering test questions.
[00:06:44 -> 00:06:46]  Don't be tempted to select an option
[00:06:46 -> 00:06:48]  that reads something like,
[00:06:48 -> 00:06:51]  the client can have an ounce of alcohol a day
[00:06:51 -> 00:06:53]  or they can smoke one cigarette a day.
[00:06:53 -> 00:06:57]  There's no smoking, no alcohol on any exam.
[00:06:57 -> 00:06:59]  And then learn generic names.
[00:06:59 -> 00:07:03]  Trade names are generally not going to be seen
[00:07:03 -> 00:07:04]  on the NCLEX.
[00:07:04 -> 00:07:07]  And so you'll not see a name like Lasix,
[00:07:08 -> 00:07:11]  but instead you would see furosemide.
[00:07:11 -> 00:07:12]  So during nursing school
[00:07:12 -> 00:07:15]  and in preparation for your NCLEX,
[00:07:15 -> 00:07:18]  you want to be sure to learn the generic names.
[00:07:18 -> 00:07:20]  All right, and so then moving forward,
[00:07:20 -> 00:07:23]  we want to share some smart study approaches.
[00:07:23 -> 00:07:25]  Our first smart study approach
[00:07:25 -> 00:07:29]  is that you access the NCSBN website
[00:07:29 -> 00:07:33]  at www.ncsbn.org
[00:07:33 -> 00:07:35]  and download your RN or your PN test plan
[00:07:36 -> 00:07:38]  as a study guide.
[00:07:38 -> 00:07:40]  It actually lists all of the nursing activities
[00:07:40 -> 00:07:42]  that you'll be tested on.
[00:07:42 -> 00:07:45]  And then also this website has many valuable resources
[00:07:45 -> 00:07:47]  for NCLEX candidates.
[00:07:47 -> 00:07:50]  And so we highly recommend visiting the site.
[00:07:50 -> 00:07:52]  If you look at the RN test plan
[00:07:52 -> 00:07:55]  and the PN test plan side by side,
[00:07:55 -> 00:07:58]  you really wouldn't know many differences.
[00:07:58 -> 00:08:00]  Most relate to intravenous therapies
[00:08:00 -> 00:08:02]  and some management roles.
[00:08:02 -> 00:08:04]  As far as pharmacology,
[00:08:04 -> 00:08:09]  the RN NCLEX test plan dedicates 12 to 18% of questions
[00:08:09 -> 00:08:12]  to pharmacology and intravenous therapies.
[00:08:12 -> 00:08:13]  And then the PN,
[00:08:13 -> 00:08:18]  they dedicate 10 to 16% to these areas.
[00:08:18 -> 00:08:19]  And then next,
[00:08:19 -> 00:08:22]  practicing test questions is the key to success.
[00:08:22 -> 00:08:25]  We recommend that you practice as many questions
[00:08:25 -> 00:08:27]  as you can before a nursing exam.
[00:08:27 -> 00:08:30]  And then of course, before taking the NCLEX.
[00:08:30 -> 00:08:33]  And in fact, we recommend that you practice
[00:08:33 -> 00:08:36]  at least 3,500 to 4,000 questions
[00:08:36 -> 00:08:38]  before taking the NCLEX.
[00:08:38 -> 00:08:41]  And we want to stress the importance of reading rationales
[00:08:41 -> 00:08:44]  and strategies for every question.
[00:08:44 -> 00:08:47]  This will really help with answering future questions
[00:08:47 -> 00:08:49]  about similar content.
[00:08:49 -> 00:08:54]  We also recommend starting with using study mode in Evolve,
[00:08:54 -> 00:08:56]  which I'll show you shortly,
[00:08:56 -> 00:09:00]  because this mode will provide you an immediate answer,
[00:09:00 -> 00:09:02]  rationale and test taking strategy
[00:09:02 -> 00:09:05]  after you submit your selected answer.
[00:09:05 -> 00:09:07]  And then once you've mastered the content,
[00:09:07 -> 00:09:10]  you can then move to the exam modes.
[00:09:10 -> 00:09:14]  And so how do you locate these questions and resources?
[00:09:14 -> 00:09:16]  You can use smart and study approaches in Evolve
[00:09:16 -> 00:09:19]  to really target and review
[00:09:19 -> 00:09:22]  depending on which medication classifications
[00:09:22 -> 00:09:23]  you're studying.
[00:09:23 -> 00:09:26]  The comprehensive review for the NCLEX RN and PN
[00:09:26 -> 00:09:30]  and the Q&A review for both the NCLEX RN and PN
[00:09:30 -> 00:09:34]  have the capabilities that I'm going to show you shortly.
[00:09:34 -> 00:09:37]  But first I'll turn it back over to Linda.
[00:09:38 -> 00:09:39]  Thank you, Angela.
[00:09:39 -> 00:09:41]  Okay, on this slide here,
[00:09:41 -> 00:09:43]  we want to share with you some resources
[00:09:43 -> 00:09:46]  that will be helpful while you're in nursing school
[00:09:46 -> 00:09:49]  and preparing for those nursing exams
[00:09:49 -> 00:09:51]  and in preparation for the NCLEX.
[00:09:51 -> 00:09:54]  So on the top left, you'll see the strategies book,
[00:09:54 -> 00:09:59]  and this is a fantastic resource for RN and PN students
[00:09:59 -> 00:10:02]  that provides you with all of the specific strategies
[00:10:02 -> 00:10:04]  for answering test questions
[00:10:04 -> 00:10:07]  from how to avoid reading into questions
[00:10:07 -> 00:10:10]  all the way to tips for prioritizing
[00:10:10 -> 00:10:13]  and tips for answering pharmacology questions.
[00:10:13 -> 00:10:16]  In fact, there's a specific chapter that focuses
[00:10:16 -> 00:10:20]  just on pharmacology tips and strategies.
[00:10:20 -> 00:10:23]  There's over 1,200 practice questions
[00:10:23 -> 00:10:27]  and about 115 of them are farm questions.
[00:10:27 -> 00:10:30]  So if your weakness is test taking
[00:10:30 -> 00:10:33]  and how to answer the questions correctly,
[00:10:33 -> 00:10:36]  this is a definite must book for you.
[00:10:36 -> 00:10:37]  And then to the right of that,
[00:10:37 -> 00:10:41]  you can see the comprehensive review book for the RN
[00:10:41 -> 00:10:43]  with the PN version just below it.
[00:10:43 -> 00:10:45]  And these books serve a dual purpose
[00:10:45 -> 00:10:49]  and are great resources while you're in nursing school
[00:10:49 -> 00:10:52]  and preparing for the NCLEX.
[00:10:52 -> 00:10:54]  These books contain both content
[00:10:54 -> 00:10:57]  and thousands of practice questions.
[00:10:57 -> 00:10:59]  And you can select the practice questions
[00:10:59 -> 00:11:02]  based on what you're learning in school,
[00:11:02 -> 00:11:07]  such as maternity, PD, adult health, or your pharmacology.
[00:11:07 -> 00:11:11]  And the RN book has over 1,000 pharmacology questions
[00:11:11 -> 00:11:15]  and the PN book over 700 farm questions.
[00:11:15 -> 00:11:17]  And then to the right of that,
[00:11:17 -> 00:11:21]  the next resource is the RN and the PN Q&A review.
[00:11:21 -> 00:11:24]  And these books contain all practice questions
[00:11:25 -> 00:11:27]  different from the ones in the comp review books
[00:11:27 -> 00:11:29]  and are higher level questions
[00:11:29 -> 00:11:34]  that really challenge your clinical judgment abilities.
[00:11:34 -> 00:11:36]  And as with the comp review book,
[00:11:36 -> 00:11:40]  you can select farm questions based on body systems
[00:11:40 -> 00:11:44]  such as cardiac meds, or even more specifically,
[00:11:44 -> 00:11:47]  you can filter down to a medication classification
[00:11:47 -> 00:11:49]  such as ACE inhibitors.
[00:11:49 -> 00:11:52]  And there are well over 700 farm questions
[00:11:52 -> 00:11:54]  in the RN and the PN Q&A books.
[00:11:56 -> 00:11:58]  Then there's the online review,
[00:11:58 -> 00:12:01]  which is designed based on the NCLEX test plan.
[00:12:01 -> 00:12:04]  There's module content, excuse me,
[00:12:04 -> 00:12:08]  module content reviews, lots of practice questions,
[00:12:08 -> 00:12:12]  video lectures, self-check questions, plus much more.
[00:12:12 -> 00:12:15]  And this is a great NCLEX prep tool.
[00:12:15 -> 00:12:19]  And again, actually follows the NCLEX test plan.
[00:12:19 -> 00:12:20]  So on this next slide,
[00:12:20 -> 00:12:22]  we just wanted to quickly provide you
[00:12:22 -> 00:12:26]  with a visual of what a farm chapter looks like
[00:12:26 -> 00:12:27]  in the comprehensive review books
[00:12:27 -> 00:12:30]  for both the RN and the PN.
[00:12:30 -> 00:12:33]  So here we actually have an endocrine chapter
[00:12:33 -> 00:12:37]  showing you some content on insulin, some boxes,
[00:12:37 -> 00:12:41]  and a figure of insulin injection sites.
[00:12:41 -> 00:12:43]  And then on this next slide,
[00:12:43 -> 00:12:46]  we wanna show you a pharmacology chapter
[00:12:46 -> 00:12:48]  in the strategies book.
[00:12:48 -> 00:12:51]  And this page presents the differences
[00:12:51 -> 00:12:55]  that Angela talked about between medications effects
[00:12:55 -> 00:12:58]  and shows you many study tips
[00:12:58 -> 00:13:01]  and provide you with a practice question.
[00:13:01 -> 00:13:03]  So every question in this book
