[00:00:00 -> 00:00:02]  Heute weben wir.
[00:00:02 -> 00:00:12]  Und zwar habe ich vor einiger Zeit schon mal gewebt und finde das super schön und auch super meditative Arbeit.
[00:00:12 -> 00:00:16]  Aber ich weiß immer nicht, was man mit den Webarbeiten dann machen soll.
[00:00:16 -> 00:00:21]  Also ich möchte mir nicht die Wände zupflastern mit so Wandteppichen und Makrameearbeiten und solchen Sachen.
[00:00:21 -> 00:00:24]  Und darum gucke ich immer, wie man das anders so ein bisschen umsetzen kann.
[00:00:24 -> 00:00:27]  Und jetzt habe ich gedacht, ich bewebe ein Kissen.
[00:00:27 -> 00:00:33]  Aber das Problem dabei ist natürlich, diese klassischen Webrahmen, die sind ja alle nur so 20 mal 30 Zentimeter.
[00:00:33 -> 00:00:35]  So ein Kirschkernkissen oder sowas kann man draus machen.
[00:00:35 -> 00:00:38]  Aber jetzt nichts, was man sich aufs Sofa legen kann. Das ist dann schon so ein bisschen Miniatur.
[00:00:38 -> 00:00:45]  Und darum haben wir so eine Leinwand besorgt, damit wir das ein bisschen größer hinkriegen.
[00:00:45 -> 00:00:48]  Und für sowas braucht man jetzt auch keine gute Qualität.
[00:00:48 -> 00:00:53]  Also wenn man damit tatsächlich malt, sollte man wahrscheinlich darauf achten, dass man da eine gute nimmt.
[00:00:53 -> 00:00:57]  Aber für unseren Zweck jetzt brauchen wir eigentlich nur so diese vier Latten im Endeffekt.
[00:00:58 -> 00:01:04]  Obwohl es keine gute Qualität an Rahmen ist, offensichtlich wunderbar gut befestigt.
[00:01:07 -> 00:01:12]  Wer das jetzt richtig, richtig selbst machen will, kann sich natürlich auch einfach für Holzlatten aneinander lagern.
[00:01:12 -> 00:01:15]  Das ist natürlich auch jederzeit eine Option.
[00:01:16 -> 00:01:17]  Vielleicht sogar einfacher.
[00:01:23 -> 00:01:24]  Fuck.
[00:01:24 -> 00:01:26]  Soviel zum Thema Qualität.
[00:01:26 -> 00:01:29]  Aber ich glaube, es lässt sich wieder aufeinander stecken.
[00:01:31 -> 00:01:34]  Das Kissen passt in den Rahmen.
[00:01:34 -> 00:01:41]  Ich glaube, ich fange jetzt einfach mal an, in so ein Zentimeter Abständen hier reinzunageln auf beiden Seiten.
[00:01:41 -> 00:01:45]  Und dann vielleicht ein bisschen breiter, weil sich das ja auch ein bisschen wirbt.
[00:01:45 -> 00:01:48]  Aber dass wir das einfach da haben als Anhaltspunkt.
[00:01:53 -> 00:01:59]  Das ist jetzt mal eine große Pumpe.
[00:02:00 -> 00:02:03]  Wenn ich mir den Finger richtig einhaue.
[00:02:09 -> 00:02:13]  Am Ende hämmer ich hier in den Holzfußboden.
[00:02:13 -> 00:02:26]  Wusstet ihr nicht, dass ich so untalentiert bin im Hämmern, also im Nägel reinschlagen?
[00:02:26 -> 00:02:31]  Aber das Gute ist, ich habe ja jetzt jede Menge Platz zu üben.
[00:02:31 -> 00:02:34]  Also wahrscheinlich sind die letzten dann wirklich schön stabil und gerade.
[00:02:34 -> 00:02:40]  Es ist sicherlich nicht der schönste Febbraum, der je geschaffen wurde, aber er erfüllt
[00:02:40 -> 00:02:41]  hoffentlich seinen Zweck.
[00:02:42 -> 00:02:45]  Ich gucke mir jetzt an, anhand des Kissens, wie breit ich das haben muss.
[00:02:45 -> 00:02:52]  Ich habe nämlich so ein Stückchen drüber und beginne damit, meinen Webfaden hier drüber
[00:02:52 -> 00:02:53]  zu spannen.
[00:02:53 -> 00:02:56]  Das ist einfach ein unelastischer weißer Faden.
[00:02:56 -> 00:03:03]  Ich verlinke euch natürlich alle Materialien in der Infobox, vor allem dann auch die schöne
[00:03:03 -> 00:03:04]  Wolle zum Heben.
[00:03:04 -> 00:03:07]  Und jetzt kurbel ich das einfach unten fest und gehe dann so hoch, runter, runter.
[00:03:11 -> 00:03:19]  Ich versuche das so ein bisschen unter Spannung, weil man ja dann, wenn man später webt, das
[00:03:19 -> 00:03:24]  schon irgendwie recht stabil haben möchte und gehe immer um zwei Nägel, damit ich gleichmäßige
[00:03:24 -> 00:03:25]  Abstände habe.
[00:03:25 -> 00:03:26]  Danke.
[00:03:26 -> 00:03:38]  Jetzt wird es spannend und zwar, ich gehe jetzt mal das Faden aussuchen und dann habe
[00:03:38 -> 00:03:42]  ich mir speziell zum Weben jetzt so ganz dicke hier bestellt.
[00:03:42 -> 00:03:51]  Einmal in Gelb, in Beige, Rosa und in so einem, was ist das für eine Farbe, Bordeaux oder so.
[00:03:51 -> 00:03:56]  Und davon werde ich, glaube ich, auf jeden Fall die beiden verwenden, muss ich mal gucken,
[00:03:56 -> 00:03:57]  wie das wirkt.
[00:03:57 -> 00:04:03]  Ich habe eh überlegt, ob ich nicht in diesen weiß-rosa Tönen bleibe, also dass man hier
[00:04:03 -> 00:04:06]  so ganz helle Farben und dann ein Highlight setze, zum Beispiel auch mit dem hier, das
[00:04:06 -> 00:04:07]  finde ich auch total geil.
[00:04:07 -> 00:04:13]  Oder das hier, das sieht auch mega schön aus, obwohl das natürlich jetzt nicht so
[00:04:13 -> 00:04:14]  das Highlight ist.
[00:04:14 -> 00:04:20]  Oder so ein Türkis als Highlight, das ist jetzt Makramee-Garn, aber eigentlich kann
[00:04:20 -> 00:04:24]  man ja beim Weben alles einweben, was irgendwie schön ist und passt.
[00:04:24 -> 00:04:28]  Ich habe jetzt mal so Webarbeiten mit Samtbändern aufgesehen, sieht ganz toll aus.
[00:04:28 -> 00:04:31]  Was ich jetzt noch mache, ich schneide mir hier so einen Streifen von dem Pappkarton
[00:04:31 -> 00:04:32]  zurecht.
[00:04:32 -> 00:04:44]  Ich schneide mir einfach ein, zwei Meter zu.
[00:04:44 -> 00:04:51]  Ich habe noch eine Nadel hier, das sind diese schönen Plastiknadeln, ich hoffe, das passt.
[00:04:51 -> 00:04:55]  Zumindest für das passt es, für die größere natürlich nicht.
[00:04:55 -> 00:04:58]  Und jetzt kann ich dadurch, dass ich das hier so hochgestellt habe, das relativ einfach
[00:04:58 -> 00:05:00]  hier einmal durchziehen.
[00:05:01 -> 00:05:05]  Ich lasse mir das Ende, das Lose hier einfach so ein bisschen raushängen, eigentlich bei
[00:05:05 -> 00:05:06]  allen Farbwechseln.
[00:05:06 -> 00:05:12]  Das wird dann hinten drunter verwebt und jetzt lege ich es mir flach und gehe dann
[00:05:12 -> 00:05:16]  mit meiner Nadel wirklich hoch und runter in die Rückrichtung.
[00:05:16 -> 00:05:20]  Ganz schön lang.
[00:05:20 -> 00:05:30]  So, ich habe gedacht, ich beginne jetzt direkt mal mit diesem dicken, rosanen Zeug hier.
[00:05:30 -> 00:05:35]  Ich glaube, ich teile mir das und dann ist die Frage, wie viel braucht man davon?
[00:05:35 -> 00:05:40]  Ich habe auch Angst, das zu schneiden, das ist irgendwie so richtig schönes Material.
[00:05:40 -> 00:05:45]  Und das hätte ich jetzt gerne so wie diese Ästhese geflochtene Optik und dafür würde
[00:05:45 -> 00:05:49]  ich jetzt einfach immer so ein Stückchen zurückgehen.
[00:05:49 -> 00:05:54]  Also dass man hier praktisch reingeht und dann aufs Vorletzte zurück und dann hier
[00:05:54 -> 00:05:55]  vorne und drüben wieder rein.
[00:05:55 -> 00:05:58]  Aber ich glaube, ich muss es noch ein Stückchen weiter durchziehen.
[00:05:58 -> 00:06:01]  Also ich dachte, ich mache es so bis hier und dann wieder so ein Stückchen zurück.
