[00:00:00 -> 00:00:12]  Welcome.
[00:00:12 -> 00:00:19]  This is a guided loving-kindness or metta meditation instruction.
[00:00:19 -> 00:00:29]  For more information, you can go to dhammasukha.org and read more about it.
[00:00:29 -> 00:00:36]  First, find a comfortable position.
[00:00:36 -> 00:00:43]  You can sit on a cushion or sit in a chair.
[00:00:43 -> 00:00:47]  There is no magic to the floor.
[00:00:47 -> 00:00:52]  We want you to be comfortable.
[00:00:52 -> 00:00:58]  There shouldn't be any discomfort that's from your body.
[00:00:58 -> 00:01:04]  The mind will have enough to keep you busy.
[00:01:04 -> 00:01:07]  Relax.
[00:01:07 -> 00:01:14]  Whatever is comfortable.
[00:01:14 -> 00:01:20]  Take a deep breath.
[00:01:20 -> 00:01:28]  Let it out.
[00:01:28 -> 00:01:43]  Take a minute or two to just be here, here in the present.
[00:01:43 -> 00:01:59]  Relax meditation is about observation and not trying, simply being and allowing.
[00:01:59 -> 00:02:06]  Notice you are breathing.
[00:02:06 -> 00:02:13]  Notice the feelings happening in the body.
[00:02:13 -> 00:02:20]  Notice the feeling of sitting.
[00:02:20 -> 00:02:21]  How is your mind?
[00:02:21 -> 00:02:27]  Is it sleepy or is it awake and full of energy?
[00:02:27 -> 00:02:34]  Are you feeling restless or calm?
[00:02:34 -> 00:02:37]  Relax and slow down.
[00:02:37 -> 00:02:42]  Settle into the chair, into the cushion.
[00:02:42 -> 00:02:49]  Notice your whole body.
[00:02:49 -> 00:02:54]  Everything that comes into your awareness, simply release it and relax and come back
[00:02:54 -> 00:02:58]  to the present.
[00:02:58 -> 00:03:05]  Don't pay any particular attention to anything.
[00:03:05 -> 00:03:15]  This will turn into later what we call the six R's.
[00:03:15 -> 00:03:23]  See how your mind is becoming spacious.
[00:03:23 -> 00:03:31]  You notice the entire room and everything going on around you.
[00:03:31 -> 00:03:36]  You relax and be with it.
[00:03:36 -> 00:03:41]  Everything is okay.
[00:03:41 -> 00:03:50]  You feel some gratitude for being allowed to sit quietly with nothing to do.
[00:03:50 -> 00:04:02]  You are thankful for having some time for yourself.
[00:04:02 -> 00:04:12]  So let's get started with our metta, our loving kindness meditation, or what we call
[00:04:12 -> 00:04:21]  from the suttas, the practice of the Brahma Viharas.
[00:04:21 -> 00:04:27]  When you practice loving kindness meditation, you first start by sending loving and kind
[00:04:27 -> 00:04:32]  thoughts to yourself.
[00:04:32 -> 00:04:37]  You remember a time when you were happy.
[00:04:37 -> 00:04:43]  When that happy feeling arises, smile.
[00:04:43 -> 00:04:48]  It's a warm, glowing feeling in the center of your chest.
[00:04:48 -> 00:04:53]  The feeling is like holding a baby and looking into its eyes.
