[00:00:00 -> 00:00:06]  Welcome to project management.
[00:00:06 -> 00:00:10]  In this video, I'll talk about different types of organizational structures for project
[00:00:10 -> 00:00:14]  management.
[00:00:14 -> 00:00:21]  Once top management approves a project, it draws into the implementation stage.
[00:00:21 -> 00:00:26]  Project implementation relies on how an organization is structured.
[00:00:26 -> 00:00:32]  Three commonly used organizational structures for project management are listed here.
[00:00:32 -> 00:00:38]  They are functional organization, dedicated project teams, and matrix structure.
[00:00:38 -> 00:00:43]  We'll talk about them one by one.
[00:00:43 -> 00:00:48]  Functional organization is a way to manage projects within the existing functional hierarchy
[00:00:48 -> 00:00:50]  of the organization.
[00:00:50 -> 00:00:56]  That means, once management decides to implement a project, the different segments of the project
[00:00:56 -> 00:01:03]  are delegated to the respective functional units, each unit being responsible for completing
[00:01:03 -> 00:01:06]  its own segment of the project.
[00:01:06 -> 00:01:11]  Project coordination is maintained through normal management channels.
[00:01:11 -> 00:01:17]  This structure is used when the interest of one functional area dominates the project.
[00:01:17 -> 00:01:23]  This diagram is an example of a project that develops a new type of medical forehead thermometer
[00:01:23 -> 00:01:27]  in a hypothetical company called Nova Digital.
[00:01:27 -> 00:01:31]  At the top of this organization is the president.
[00:01:31 -> 00:01:38]  Two supporting offices are human resources and finance and administration.
[00:01:38 -> 00:01:47]  There are four divisions, engineering, manufacturing, procurement, and marketing.
[00:01:47 -> 00:01:53]  The design, electronics, software, and mechanical departments within the engineering division
[00:01:53 -> 00:01:59]  are responsible for creating the specifications to meet the needs of the customers.
[00:01:59 -> 00:02:05]  The production scheduling, fabrication, assembly, and testing departments within the manufacturing
[00:02:05 -> 00:02:12]  division are responsible for producing the thermometers according to the design specifications.
[00:02:12 -> 00:02:16]  The purchasing and receiving departments are responsible for acquiring all the materials
[00:02:16 -> 00:02:22]  needed for producing the thermometers from suppliers and vendors.
[00:02:22 -> 00:02:27]  The customer service, domestic, and international sales departments within the marketing division
[00:02:27 -> 00:02:33]  are responsible for determining the product demand and price, identifying distribution
[00:02:33 -> 00:02:38]  channels, providing customer support, and collecting customer feedback.
[00:02:38 -> 00:02:43]  The marketing division manager is given the authority to coordinate the project with other
[00:02:43 -> 00:02:50]  division managers because marketing dominates this project.
[00:02:50 -> 00:02:56]  There are several major advantages of using functional organization to manage projects.
[00:02:56 -> 00:03:01]  One is that projects are completed within the original functional structure, so there
[00:03:01 -> 00:03:06]  is no need for structural changes in the parent organization.
[00:03:06 -> 00:03:13]  Another advantage is that there is a maximum flexibility in the use of staff.
[00:03:13 -> 00:03:17]  Appropriate specialists in different functional units can temporarily be assigned to work
[00:03:17 -> 00:03:22]  on a project and then return to their normal work.
[00:03:22 -> 00:03:27]  The third advantage is that this structure works great if the scope of the project is
[00:03:27 -> 00:03:29]  narrow.
[00:03:29 -> 00:03:34]  Since a functional unit will take the primary responsibility, in-depth expertise can be
[00:03:34 -> 00:03:39]  relied on to deal with the most crucial aspects of the project.
[00:03:39 -> 00:03:44]  They will also get support from a broad base of technical personnel available in other
[00:03:44 -> 00:03:47]  functional divisions and departments.
[00:03:47 -> 00:03:54]  Finally, people can be switched among different projects relatively easily.
[00:03:54 -> 00:04:00]  While specialists can make significant contributions to projects, their functional field is still
[00:04:00 -> 00:04:07]  their professional home and the focus of their career growth and advancement.
[00:04:07 -> 00:04:14]  One disadvantage of using functional organization to manage projects is lack of focus.
[00:04:14 -> 00:04:19]  Each functional unit has its own core routine work to do.
[00:04:19 -> 00:04:25]  Sometimes project responsibilities get pushed aside to meet primary obligations.
[00:04:25 -> 00:04:29]  The same project has different priorities for different units.
[00:04:29 -> 00:04:35]  For example, the marketing department may consider the project urgent while the manufacturing
[00:04:35 -> 00:04:39]  people consider it only of secondary importance.
[00:04:39 -> 00:04:45]  This could cause a great deal of tension between these two functional departments.
[00:04:45 -> 00:04:51]  Another disadvantage is that there may be poor integration across functional units.
[00:04:51 -> 00:04:55]  Functional specialists tend to be concerned with only their segment of the project and
[00:04:55 -> 00:04:59]  not with what is best for the whole project.
[00:04:59 -> 00:05:05]  The third disadvantage is that it generally takes longer to complete projects through
[00:05:05 -> 00:05:08]  this project management structure.
[00:05:08 -> 00:05:14]  Lastly, since one functional department is leading the project, other functional departments
[00:05:14 -> 00:05:19]  that are not in charge may have a feeling of lack of ownership.
[00:05:19 -> 00:05:23]  They may see this project as an additional burden that is not directly linked to their
[00:05:23 -> 00:05:29]  professional development or advancement.
[00:05:29 -> 00:05:35]  A dedicated project team is a way of managing projects as a separate unit in addition to
[00:05:35 -> 00:05:39]  the functional divisions and departments in an organization.
[00:05:39 -> 00:05:44]  A full-time project manager is designated to pull together a core group of specialists
[00:05:44 -> 00:05:49]  from the relevant departments and they all work full-time on the project.
[00:05:49 -> 00:05:55]  Team members could be recruited from within and outside the parent company.
[00:05:55 -> 00:06:00]  Functional departments are responsible for providing support for these dedicated teams.
[00:06:00 -> 00:06:06]  If projects are the dominant form of business, then an organization is called a projectized
[00:06:06 -> 00:06:08]  organization.
[00:06:08 -> 00:06:11]  This is an example.
[00:06:11 -> 00:06:15]  One dedicated team is doing project 1 with a full-time manager and team members selected
[00:06:15 -> 00:06:21]  from different functional units who work full-time on the single project.
[00:06:21 -> 00:06:25]  Another dedicated team is doing project 2, and so on.
[00:06:25 -> 00:06:30]  Functional departments are only playing the supporting role.
[00:06:30 -> 00:06:36]  Lockheed Martin has been using this structure to develop next-generation jet airplanes.
[00:06:36 -> 00:06:40]  It's called Lockheed Martin Skunk Works.
[00:06:40 -> 00:06:46]  Skunk Works is code for a small dedicated team assigned to a breakthrough project.
[00:06:46 -> 00:06:51]  There are a series of great YouTube videos explaining what Skunk Works is from the perspectives
[00:06:51 -> 00:06:58]  of their senior systems engineer, program manager, and portfolio manager.
[00:06:58 -> 00:07:03]  Watch these videos to learn more about Skunk Works.
[00:07:03 -> 00:07:08]  There are several major advantages of using dedicated teams to manage projects.
[00:07:08 -> 00:07:14]  First, this organizational structure is relatively simple.
[00:07:14 -> 00:07:20]  A dedicated team will pull resources in the form of specialists from functional units.
[00:07:20 -> 00:07:25]  And other than that, the functional department remains intact and operates independently
[00:07:25 -> 00:07:28]  from the project team.
[00:07:28 -> 00:07:34]  Second, projects tend to get done faster when participants devote their full attention to
[00:07:34 -> 00:07:38]  the project and are not distracted by other obligations and duties.
[00:07:38 -> 00:07:44]  Furthermore, response time tends to be quicker under this arrangement because most decisions
[00:07:44 -> 00:07:49]  are made within the project team and are not deferred due to horizontal and then vertical
[00:07:49 -> 00:07:52]  communications with other functional departments.
[00:07:52 -> 00:07:59]  Third, a high level of motivation and cohesiveness often emerges within the dedicated project
[00:07:59 -> 00:08:02]  team.
[00:08:02 -> 00:08:08]  Participants share a common goal and personal responsibility toward the project.
[00:08:08 -> 00:08:14]  Last, specialists from different functional areas work closely together with proper guidance
[00:08:14 -> 00:08:22]  will be committed to optimizing the whole project, not their respective segments.
[00:08:22 -> 00:08:27]  One disadvantage of using a dedicated team to work on a project is that they are relatively
[00:08:27 -> 00:08:29]  expensive.
[00:08:29 -> 00:08:36]  The project manager and all the team members are supposed to work on a single project full-time.
[00:08:36 -> 00:08:42]  All the other resources needed will be allocated to one project only.
[00:08:42 -> 00:08:46]  Close sharing within the organization with other functional departments or other project
[00:08:46 -> 00:08:50]  teams is difficult.
[00:08:50 -> 00:08:55]  Sometimes a dedicated project team becomes obsessed with their own right, and internal
[00:08:55 -> 00:09:00]  strife emerges between the team and the remainder of the organization.
[00:09:00 -> 00:09:07]  This divisiveness and even hostility can undermine the outcomes of the project.
[00:09:07 -> 00:09:13]  In a dedicated team, technical expertise is limited somewhat to the talents and experience
[00:09:13 -> 00:09:16]  of the specialists assigned to the project.
[00:09:16 -> 00:09:22]  While the specialists can still consult with others in the functional division, the we-zee
[00:09:22 -> 00:09:29]  syndrome and the fact that such help is not formal discourages this from happening.
[00:09:29 -> 00:09:34]  Dedicated teams make it difficult for post-project transition.
[00:09:34 -> 00:09:38]  Because a project is a temporary effort, team members will go back to their original
[00:09:38 -> 00:09:42]  functional department after the project is completed.
[00:09:42 -> 00:09:47]  The transition may be difficult because of their prolonged absence and the need to catch
[00:09:47 -> 00:09:53]  up with recent development in their functional area.
[00:09:53 -> 00:09:58]  The functional organization and the dedicated teams are at two extremes of organizational
[00:09:58 -> 00:10:01]  structure for project management.
[00:10:01 -> 00:10:06]  The matrix structure is a hybrid of the two.
[00:10:06 -> 00:10:12]  In a matrix system, there are usually two chains of command, one along the vertical
[00:10:12 -> 00:10:17]  functional lines and the other along the horizontal project lines.
[00:10:17 -> 00:10:23]  Project participants report simultaneously to both functional and project managers.
[00:10:23 -> 00:10:27]  Matrix structure optimizes the use of resources.
[00:10:27 -> 00:10:33]  It allows for participation on multiple projects while performing normal functional duties.
