[00:00:00 -> 00:00:02]  Fertighaus-Boom in Deutschland.
[00:00:02 -> 00:00:05]  Noch nie war das schnelle Bauen so beliebt.
[00:00:05 -> 00:00:09]  Jetzt kommt ein weiteres Herzstück ran.
[00:00:09 -> 00:00:10]  Krass.
[00:00:10 -> 00:00:13]  In wenigen Stunden steht ein komplettes Haus,
[00:00:13 -> 00:00:15]  ein Lebenstraum wird wahr.
[00:00:15 -> 00:00:19]  Man kann sich nicht vorstellen, dass heute Abend das Haus steht,
[00:00:19 -> 00:00:21]  dass man rein theoretisch rein kann.
[00:00:21 -> 00:00:26]  Turbomontage auf der Baustelle dank Vorfertigung im Werk.
[00:00:26 -> 00:00:28]  Häuser wie vom Fließband.
[00:00:28 -> 00:00:31]  In 50 Jahren Fertigbauweise hat sich viel getan.
[00:00:31 -> 00:00:34]  Das ist Lego für Erwachsene.
[00:00:34 -> 00:00:39]  Ob aus Holz oder Beton, Fertighäuser sparen Zeit und Geld.
[00:00:39 -> 00:00:41]  Aber auch Ärger?
[00:00:41 -> 00:00:44]  Der hat es leider nicht geschafft, pünktlich zu liefern.
[00:00:44 -> 00:00:46]  Deswegen gibt es eine Notlösung.
[00:00:46 -> 00:00:50]  Jedes 5. neue Haus in Deutschland ist ein Fertigbau.
[00:00:50 -> 00:00:51]  Und die Nachfrage steigt.
[00:00:51 -> 00:00:53]  Jede Woche ein Haus.
[00:00:53 -> 00:00:55]  Das ist bunt.
[00:00:55 -> 00:01:00]  Die FOKUS-TV-Reportage über den Trend unter deutschen Häuslebauern.
[00:01:07 -> 00:01:09]  Ein Vorort von Stuttgart.
[00:01:09 -> 00:01:13]  Nirgendwo in Deutschland sind Fertighäuser so beliebt
[00:01:13 -> 00:01:14]  wie in Baden-Württemberg.
[00:01:15 -> 00:01:18]  Michael Halmel und seine Ehefrau Stephanie
[00:01:18 -> 00:01:20]  wohnen hier seit 10 Jahren zur Miete.
[00:01:20 -> 00:01:24]  Seit der Geburt ihres Sohnes träumen die beiden von einem Eigenheim.
[00:01:24 -> 00:01:27]  Das bekannte Grundstück haben sie schon gefunden.
[00:01:27 -> 00:01:31]  Bleibt nur die Frage, was für ein Haus soll es sein?
[00:01:31 -> 00:01:35]  Inspiration finden sie im Katalog eines Fertighaus-Herstellers.
[00:01:35 -> 00:01:38]  Das ist schon die Form, wie ich sie schon immer toll finde.
[00:01:38 -> 00:01:43]  Kastenförmig, das wissen wir, das geht nicht nach der Bauvorschrift.
[00:01:43 -> 00:01:45]  Das ist auch sehr modern.
[00:01:45 -> 00:01:47]  Wir sind ja schon ein bisschen rustikal.
[00:01:47 -> 00:01:50]  Das wäre doch ein idealer Aufbau oben.
[00:01:50 -> 00:01:54]  Hier ein Bord, das Gästezimmer.
[00:01:55 -> 00:01:58]  Matthäus' Zimmer, das ist unser Schlafzimmer.
[00:01:58 -> 00:02:01]  Genau, und das Büro würdest du dann im Erdgeschoss
[00:02:01 -> 00:02:03]  hier irgendwo noch unterbringen.
[00:02:03 -> 00:02:04]  Genau.
[00:02:04 -> 00:02:07]  V.a. hier hast du richtig viel Platz mit der Galerie.
[00:02:07 -> 00:02:10]  Du kannst da vielleicht noch ein Fenster machen.
[00:02:10 -> 00:02:15]  Mehr Platz, das braucht die 40-jährige Pressereferentin dringend.
[00:02:15 -> 00:02:18]  In der jetzigen Mietwohnung ist es zu eng.
[00:02:18 -> 00:02:23]  Das Gästezimmer dient zugleich als Büro, Umkleide und Wäscheraum.
[00:02:25 -> 00:02:29]  Meine Idealvorstellung von einem Eigenheim ist tatsächlich,
[00:02:29 -> 00:02:31]  dass man es so gestalten kann,
[00:02:31 -> 00:02:34]  nach den Bedürfnissen, die man ganz persönlich hat.
[00:02:34 -> 00:02:37]  Z.B. lange Gänge, die wir hier in dieser Wohnung haben,
[00:02:37 -> 00:02:38]  einfach vermeiden.
[00:02:38 -> 00:02:40]  Dieser lange, schmale Gang, das ist das,
[00:02:40 -> 00:02:44]  was mich hier schon immer irgendwie gestört hat in dieser Wohnung.
[00:02:44 -> 00:02:46]  Aber natürlich nimmt man das in Kauf.
[00:02:46 -> 00:02:49]  In einer Mietwohnung ist es einfach was anderes.
[00:02:49 -> 00:02:52]  Da hat man für sich andere Prioritäten in dem Moment.
[00:02:52 -> 00:02:55]  Er verbrachte seine Kindheit mit viel Platz auf dem Land.
[00:02:55 -> 00:02:58]  So etwas wünscht er sich auch für seinen Sohn.
[00:02:58 -> 00:03:02]  Mein Traum ist, ein Millionärsanwesen zu haben.
[00:03:02 -> 00:03:05]  Aber das wird es nicht sein.
[00:03:05 -> 00:03:09]  Man muss es ganz realistisch sehen.
[00:03:09 -> 00:03:20]  Mit Keller und Haus liegen wir irgendwo zwischen 250.000 und 350.000 Euro.
[00:03:21 -> 00:03:23]  Die Suche nach ihrer Traum-Immobilie
[00:03:23 -> 00:03:26]  führt die Familie nach Hohenstein-Oberstetten
[00:03:26 -> 00:03:30]  in die Musterhaus-Siedlung von Fertigbau-Anbieter Schwörer.
[00:03:30 -> 00:03:32]  Hier sind wir schon.
[00:03:32 -> 00:03:34]  Das ist das Walmdach.
[00:03:34 -> 00:03:36]  Das ist ein Pultdach.
[00:03:36 -> 00:03:38]  Aber so ganz pultig ist es auch nicht.
[00:03:38 -> 00:03:40]  Das geht nach da oben ein bisschen weg,
[00:03:40 -> 00:03:42]  wie so eine kleine Sprungschanze.
[00:03:42 -> 00:03:44]  Und hier das andere Holz.
[00:03:44 -> 00:03:46]  Guck mal, schön, toll.
[00:03:46 -> 00:03:48]  Richtig klasse.
[00:03:48 -> 00:03:51]  Das ist die Horizontallamme-Fassade.
[00:03:51 -> 00:03:54]  Die Frage ist, ob es das in einer anderen Farbe gibt.
[00:03:54 -> 00:03:56]  Das ist das schöne Wohnhaus.
[00:03:56 -> 00:03:58]  Aber futuristisch.
[00:03:58 -> 00:04:00]  Das ist sehr modern.
[00:04:00 -> 00:04:02]  Das hat diese Glasfassade.
[00:04:02 -> 00:04:04]  Das gefällt mir weniger.
[00:04:04 -> 00:04:07]  Lass uns mal reingehen, um das Raumgefühl zu bekommen.
[00:04:07 -> 00:04:10]  Ich bin gespannt auf den Grundriss, die Raumaufteilung.
[00:04:10 -> 00:04:12]  Bei diesem Modell ist sich das Paar einig.
[00:04:12 -> 00:04:15]  Außen voll, aber innen eine Überraschung.
[00:04:15 -> 00:04:17]  Genau diese geradläufige Treppe,
[00:04:17 -> 00:04:20]  die hier das Kernstück des Hauses ist.
[00:04:20 -> 00:04:22]  So stellt man das vor.
[00:04:22 -> 00:04:24]  Das sieht richtig klasse aus.
[00:04:24 -> 00:04:26]  Schau mal, die großen Fenster.
[00:04:26 -> 00:04:28]  Das ist schon genial,
[00:04:28 -> 00:04:32]  wie viel Licht durch die Schiebetüren hier reinkommt.
[00:04:32 -> 00:04:34]  Klasse.
[00:04:34 -> 00:04:36]  Die kannst du ganz aufziehen.
[00:04:36 -> 00:04:38]  Wahnsinn.
[00:04:38 -> 00:04:40]  So etwas hätte ich auch gerne.
[00:04:40 -> 00:04:43]  Eine Schiebetür ist natürlich richtig klasse.
[00:04:44 -> 00:04:46]  Das Fenster ist genial.
[00:04:46 -> 00:04:48]  Das ist quasi raumhoch.
[00:04:48 -> 00:04:50]  Wie viel Licht da reinkommt.
[00:04:50 -> 00:04:52]  Perfekt.
[00:04:52 -> 00:04:55]  Fertighäuser kommen, anders als früher,
[00:04:55 -> 00:04:57]  nicht mehr komplett von der Stange,
[00:04:57 -> 00:05:00]  sondern können individuell geplant werden.
[00:05:00 -> 00:05:02]  Das sorgt für einen Boom.
[00:05:02 -> 00:05:04]  Jedes 5. neue Haus
[00:05:04 -> 00:05:07]  stammt hierzulande inzwischen aus einer Fabrik.
[00:05:07 -> 00:05:10]  Gegenüber dem Vorjahr wurden 2020 trotz Corona-Krise
[00:05:10 -> 00:05:14]  11% mehr Baugenehmigungen für solche Häuser erteilt.
[00:05:14 -> 00:05:16]  Ortstermin bei der Firma Dennert,
[00:05:16 -> 00:05:19]  einem der bundesweit rund 50 Fertighausanbieter
[00:05:19 -> 00:05:21]  im fränkischen Schlüsselfeld.
[00:05:21 -> 00:05:24]  Hier treffen wir Tatjana und Manuel Dressel.
[00:05:24 -> 00:05:28]  Auch dieses Paar hat sich auf das Abenteuer Fertighaus eingelassen.
[00:05:28 -> 00:05:32]  Heute dürfen sie ihr zukünftiges Zuhause im Werk besichtigen.
[00:05:32 -> 00:05:35]  Ich bin gespannt, wie weit die Module sind,
[00:05:35 -> 00:05:38]  wie wird es gefertigt und v.a. in die Dimensionen.
[00:05:38 -> 00:05:40]  Das ist total aufregend.
[00:05:40 -> 00:05:43]  Das kann ich nicht fassen, dass ich das sehe.
[00:05:43 -> 00:05:45]  Die ganze Zeit wartet man drauf.
[00:05:45 -> 00:05:48]  Jetzt steht man davor, mehr oder weniger.
[00:05:48 -> 00:05:51]  Begleitet wird das Ehepaar von Fred Schwarz.
[00:05:51 -> 00:05:55]  Der Handelsvertreter ist seit 25 Jahren im Unternehmen
[00:05:55 -> 00:05:59]  und immer noch begeistert vom Baukasten-Prinzip.
[00:05:59 -> 00:06:03]  Wir können nicht die kompletten Raummodule auf einmal produzieren.
[00:06:03 -> 00:06:06]  D.h., wir stellen einzelne Wandscheiben her.
[00:06:06 -> 00:06:09]  Hier z.B. sehen wir eine Bodenplatte.
[00:06:09 -> 00:06:12]  Das wäre die Bodenplatte eines Hauses.
[00:06:12 -> 00:06:16]  Auf diese Bodenplatte werden einzelne Wandscheiben gesetzt.
[00:06:16 -> 00:06:19]  So wird ein komplettes Raummodul hergestellt.
[00:06:19 -> 00:06:23]  Die Mission des Unternehmens ist es, den Bauprozess zu vereinfachen.
[00:06:23 -> 00:06:26]  Die Raummodule aus Leichtbeton werden im Werk
[00:06:26 -> 00:06:31]  komplett fertiggestellt, von den Außenwänden bis zur Elektrik.
[00:06:32 -> 00:06:35]  Die Steckdosen sind auch schon drin in der Wand,
[00:06:35 -> 00:06:37]  wenn die im Druckofen sitzt.
[00:06:37 -> 00:06:39]  Wenn wir die Wandscheiben produzieren,
[00:06:39 -> 00:06:42]  werden im Vorfeld Leerrohre und Leerdosen eingelegt,
[00:06:42 -> 00:06:45]  durch die wir dann die Leitungen ziehen.
[00:06:45 -> 00:06:50]  Bis zu 5 Häuser verlassen jede Woche die sog. Raumfabrik.
[00:06:53 -> 00:06:57]  Je weiter wir nach hinten kommen, umso fertiger sind die Module.
[00:06:57 -> 00:07:00]  D.h., es wird immer ein Arbeitsschritt erledigt.
[00:07:00 -> 00:07:03]  Dann wandert das Modul eine Station weiter.
[00:07:04 -> 00:07:09]  Und was kostet das Fertighaus des jungen Ehepaares nun genau?
[00:07:10 -> 00:07:15]  226.534 Euro, glaube ich, wenn ich es genau ...
[00:07:15 -> 00:07:18]  Ich weiß es nicht genau, aber so in dem Dreh.
[00:07:18 -> 00:07:21]  Dafür haben sie lange gespart.
[00:07:21 -> 00:07:24]  Der Höhepunkt der Besichtigung naht.
[00:07:24 -> 00:07:26]  Bisher kennen der Verfahrensmechaniker
[00:07:26 -> 00:07:29]  und die Justizangestellte ihr Haus nur auf Papier.
[00:07:30 -> 00:07:32]  Jetzt ist der Moment gekommen.
[00:07:32 -> 00:07:35]  Ihr seht hier das 1. Modul von eurem Ikon-Haus.
[00:07:35 -> 00:07:37]  Cool.
[00:07:37 -> 00:07:40]  Eine Treppe sorgt für Emotionen.
[00:07:40 -> 00:07:42]  Wow.
[00:07:42 -> 00:07:44]  Schon komisch, das jetzt so zu sehen.
[00:07:44 -> 00:07:46]  Ich nehme gleich die Treppe.
[00:07:46 -> 00:07:48]  Ja, ja, ich bin ...
[00:07:49 -> 00:07:51]  Du bist emotionaler als ich.
[00:07:53 -> 00:07:55]  Warum rührt sie das?
[00:07:55 -> 00:07:57]  Weiß ich nicht.
[00:07:57 -> 00:07:59]  Mit unseres?
[00:07:59 -> 00:08:01]  Jetzt hat es mich erwischt.
[00:08:01 -> 00:08:03]  Wollte ich eigentlich nicht.
[00:08:03 -> 00:08:05]  War nicht so geplant.
[00:08:05 -> 00:08:08]  Eigentlich habe ich gedacht, ich weine.
[00:08:08 -> 00:08:11]  Ist schon anders, wenn du da jetzt siehst.
[00:08:12 -> 00:08:14]  Handfahrt.
[00:08:14 -> 00:08:16]  Warum rührt sie das?
[00:08:16 -> 00:08:19]  Es ist einfach schön, wenn man weiß,
[00:08:19 -> 00:08:22]  dass man wieder eine glückliche Familie hat,
[00:08:22 -> 00:08:24]  die ihr Haus bekommt.
[00:08:24 -> 00:08:27]  Das ist für mich ein sehr emotionaler Moment.
[00:08:27 -> 00:08:31]  Das bedeutet, dass man in die nächste Stufe übergehen kann,
[00:08:31 -> 00:08:35]  wo man sagt, das ist das Haus, in dem man alt werden will.
[00:08:35 -> 00:08:38]  Es ist sesshaft an der Stelle, wo man das hinstellt.
[00:08:38 -> 00:08:42]  Dass man fertig ist und nicht mehr darüber nachdenken muss,
