[00:00:00 -> 00:00:05]  For the past few years, I've been slowly transforming my yard into a proper cottage garden.
[00:00:05 -> 00:00:08]  However, this is not the first cottage garden I've grown.
[00:00:08 -> 00:00:15]  If you have seen my old videos, you have witnessed how I transformed my last place from nondescript lawn into a lush and wild cottage garden.
[00:00:15 -> 00:00:18]  It took years to get to this stage of maturity.
[00:00:18 -> 00:00:26]  That's because I like to expand a garden slowly, working with what's available around me, propagating the plants from seed and cuttings whenever possible,
[00:00:26 -> 00:00:29]  and letting the plants find their own voice in this space.
[00:00:29 -> 00:00:32]  This means I've spent very little money to make this happen.
[00:00:32 -> 00:00:36]  Buying plants from nurseries can be convenient, but tends to be expensive as well.
[00:00:36 -> 00:00:45]  Even if budget is not an issue for you, the process of watching plants grow from seed to slowly flesh out the garden is in itself rewarding, and frankly, priceless.
[00:00:45 -> 00:00:48]  It helps us grow as gardeners as well.
[00:00:48 -> 00:00:52]  In this short series on garden design, I'll show how you can see your space through a new lens,
[00:00:52 -> 00:00:57]  sharing tips I've picked up over the years on how to shape your dream garden into reality.
[00:01:00 -> 00:01:04]  In this video, we'll focus on structure.
[00:01:04 -> 00:01:10]  In other words, how to organize the backbone of your garden into a beautiful and practical space.
[00:01:10 -> 00:01:15]  I started with a side garden that links the front of the house to the back, where the kitchen is.
[00:01:15 -> 00:01:18]  I envisioned an edible cottage garden.
[00:01:18 -> 00:01:22]  Therefore, I wanted to build several garden beds where I could raise salad greens and other vegetables.
[00:01:22 -> 00:01:26]  So I laid out the square beds on a grid, aligning them to the house.
[00:01:26 -> 00:01:30]  They would need to be protected from groundhogs and deer that roam the area.
[00:01:30 -> 00:01:40]  After much thought and some sketching in 3D, I settled on this vintage gazebo-like structure with removable chicken wire panels to house the most tasty greens.
[00:01:40 -> 00:01:46]  Eventually, I would subdivide the garden to separate rooms with fences, but this ensured added protection.
[00:01:46 -> 00:01:53]  I had in mind French kitchen gardens called potager and English cottage gardens as inspiration.
[00:01:54 -> 00:01:58]  My goal was to infuse this area with sense of place.
[00:01:58 -> 00:02:04]  It's a hard concept to define clearly, but we do recognize it immediately once we experience such places.
[00:02:04 -> 00:02:07]  Think of the most beloved spaces in the world.
[00:02:07 -> 00:02:14]  Be it Venice with its Renaissance architecture with human-sized decoration, narrow alleys and reflective canals that exude mystery.
[00:02:14 -> 00:02:19]  Washington D.C. or Paris with regal, tree-framed, broad boulevards.
[00:02:19 -> 00:02:23]  Puginato's impressive mountains and jungle encrusted by city life.
[00:02:23 -> 00:02:26]  Salvador's colorful, cascading Baroque homes and churches.
[00:02:26 -> 00:02:30]  Morocco's labyrinthine marketplaces and rich courtyards.
[00:02:30 -> 00:02:33]  Or India's splendid Taj Mahal.
[00:02:33 -> 00:02:40]  These spaces exude a sense of place not only because their rich culture and history are reflected on the built environment,
[00:02:40 -> 00:02:45]  but because the arrangement of space itself is cohesive, balanced, and specific.
[00:02:45 -> 00:02:49]  They are the opposite of what has been called liminal spaces.
[00:02:49 -> 00:02:56]  Liminal spaces or spaces of passing through have recently trended online in video and photo sharing platforms
[00:02:56 -> 00:03:04]  because they elicit a rather uneasy nostalgia from a generation who has grown up living outside of spaces with a sense of place.
[00:03:06 -> 00:03:09]  They are what I call spaces of unbelonging.
[00:03:09 -> 00:03:13]  In them, it feels like you're anywhere and nowhere at the same time.
[00:03:14 -> 00:03:21]  Airport corridors, office hallways, blank courtyards, highway embankments, nondescript subdivisions.
[00:03:21 -> 00:03:29]  Recent population growth, modern building techniques, and standardized materials have led to a homogenized landscape lacking personality.
[00:03:29 -> 00:03:32]  Our gardens need to be the opposite of that.
[00:03:32 -> 00:03:36]  The location of my new home in an old town near the mountains in a river valley,
[00:03:36 -> 00:03:42]  it already exudes a sense of place so it's not hard for me to work with it, to highlight what's already here.
[00:03:42 -> 00:03:47]  But even if you live in a cut-and-paste suburb or even amongst a row of tract homes,
[00:03:47 -> 00:03:55]  your garden is your best opportunity to create a jewel-encrusted box that is your own and that declares you have arrived somewhere.
[00:03:56 -> 00:04:00]  I chose this spot as the hub for the garden because of its court-like appearance.
[00:04:00 -> 00:04:05]  I wanted it to have an old-world feel and the presence of the stone wall was perfect.
[00:04:05 -> 00:04:09]  Walls and fences help us subdivide a garden into garden rooms.
[00:04:09 -> 00:04:12]  A cottage garden, by design, needs a more enclosed feel.
[00:04:12 -> 00:04:22]  So if your house is out in the open grass, then you really want to add some fences or hedges or even a wall to partition your space into manageable chunks.
[00:04:22 -> 00:04:26]  This will help you make the space feel full with denser planting.
[00:04:26 -> 00:04:31]  I was lucky enough to have a ready-made, semi-enclosed space ready for use.
[00:04:31 -> 00:04:35]  Sun exposure was also a crucial consideration.
