[00:00:00 -> 00:00:02]  You
[00:00:17 -> 00:00:19]  Yeah, it's hard to say what it is exactly
[00:00:30 -> 00:00:35]  So, why is it so exciting why we care so much about it
[00:00:40 -> 00:00:47]  You don't know what it is. Oh, yeah, what you know what you're looking for you could see it it's break time
[00:01:00 -> 00:01:02]  I
[00:01:12 -> 00:01:19]  Think one of the best things about Lindisfarne is that it's such a big excavation in terms of
[00:01:19 -> 00:01:25]  Basically, the whole team gets to come we all have a role to play here and it's like a big family reunion
[00:01:30 -> 00:01:32]  My
[00:01:33 -> 00:01:37]  Name is Maya and I'm head of community at DigVentures
[00:01:37 -> 00:01:45]  I'm Indy Jago, and I'm a community archaeologist for DigVentures. My name is Ben Sweene. I'm Harriet
[00:01:45 -> 00:01:48]  I'm Jodie Hannis. I'm David Wallace. My name is Nat
[00:01:49 -> 00:01:53]  I'm community archaeologist with DigVentures. I'm Ginny and I'm the intern
[00:02:01 -> 00:02:04]  I shouldn't do that. I can't get away with it. I can't pull that off
[00:02:09 -> 00:02:13]  So DigVentures started as really just Brendan and I and our dog and
[00:02:13 -> 00:02:19]  then we went up to two dogs and more people but it's been like an organic process and
[00:02:20 -> 00:02:23]  Actually adding people to this team has been the hardest part of it
[00:02:24 -> 00:02:29]  So when I think about describing my team as a whole and which I do often because people ask me
[00:02:30 -> 00:02:32]  We are the island of misfit toys
[00:02:32 -> 00:02:32]  You know
[00:02:32 -> 00:02:38]  It's the place where all the toys who were slightly off somehow and didn't get to go to Girls and Boys at Christmas by Santa
[00:02:38 -> 00:02:42]  They all end up there. And of course, they're the coolest. They're the most interesting
[00:02:42 -> 00:02:46]  They're the ones who've got it all going on and that's how I feel about my team
[00:02:50 -> 00:02:52]  The digs divides into two halves
[00:02:52 -> 00:02:55]  We've got an eastern trench and a western trench in the western trench
[00:02:55 -> 00:02:59]  They're getting a sense of actually there's quite a bit of stratigraphy on the site
[00:02:59 -> 00:03:02]  So we're using that kind of cut through that as a section
[00:03:02 -> 00:03:06]  Which is quite a cheating way of seeing as a cross-section through the archaeology
[00:03:06 -> 00:03:13]  We've also started to find a whole series of features around that site. See circular features. We keep on joking about
[00:03:14 -> 00:03:19]  To see the full extent of it and you know just to see if it's coming this way
[00:03:19 -> 00:03:22]  Underneath the cuts and extending into this area or not
[00:03:23 -> 00:03:25]  It looks like it's a bit higher on the edge here
[00:03:26 -> 00:03:28]  Yeah
[00:03:30 -> 00:03:36]  We can see what's going on. Yeah, I just don't know what it is. No, I don't know what it is
[00:03:38 -> 00:03:45]  There's a lot to talk about when it comes to the circular feature semi-circular feature burnt feature big round thing it's
[00:03:45 -> 00:03:51]  Yeah, it's it's hard to say what it is exactly we weren't really sure quite what was going on we knew we had a big
[00:03:52 -> 00:03:54]  circular feature
[00:03:54 -> 00:03:56]  There's quite a bit of burning
[00:03:57 -> 00:04:01]  Having dug down. It's just clearly got bigger and bigger and bigger and
[00:04:02 -> 00:04:07]  The name is has evolved the interpretations have evolved. We just don't know what it is
[00:04:09 -> 00:04:13]  It's potentially it could be a corn drive. Then I was looking at other examples of corn drives
[00:04:13 -> 00:04:17]  They're square Jackson corn drives a square. This is circular
[00:04:18 -> 00:04:20]  It's a large circular feature
[00:04:38 -> 00:04:41]  Some people say that the fines for team is
[00:04:41 -> 00:04:45]  Some people say that the fines team is a breed of its own
[00:04:47 -> 00:04:47]  That
[00:04:47 -> 00:04:51]  might be true to a point because I think in order to be
[00:04:52 -> 00:04:54]  Really good in the fines room. You need to be a bit pedantic
[00:04:56 -> 00:05:01]  I've learned over many years that if you have stuff lying around especially sharpies and masking tape it
[00:05:01 -> 00:05:05]  Disappears archaeologists when they see a sharpie. They think oh
[00:05:05 -> 00:05:08]  There's sharpie. I might need one. They pocket it
[00:05:09 -> 00:05:11]  Not with me
[00:05:12 -> 00:05:14]  This year because of the pandemic
[00:05:14 -> 00:05:17]  We have to keep things clean. We have to keep them sanitized. We have to keep them separated
[00:05:18 -> 00:05:22]  So I made sure that every table has their own masking tape and sharpie
[00:05:24 -> 00:05:25]  I'm johanna
[00:05:25 -> 00:05:32]  And i'm community archaeologist with thick ventures. I I don't think i've ever really come across anyone like johanna
[00:05:33 -> 00:05:34]  before
[00:05:34 -> 00:05:36]  Uh, I don't know how to describe her
[00:05:37 -> 00:05:39]  She's um
[00:05:41 -> 00:05:46]  Um unique yes unique I think johanna is unique
[00:05:47 -> 00:05:50]  Anyway, i'm smiling at you now
[00:05:55 -> 00:05:57]  I told you that doesn't work
[00:05:57 -> 00:06:04]  Um, what i'm going to tell you. Yeah is I snuck in here before anyone else was about into the fines room
[00:06:04 -> 00:06:09]  Right, I did move the box I knew it back
[00:06:10 -> 00:06:12]  I've got my coin book out
[00:06:12 -> 00:06:14]  because
[00:06:14 -> 00:06:16]  I wanted to see what it was and I couldn't wait
[00:06:17 -> 00:06:19]  I did not lose any of her fines
[00:06:19 -> 00:06:21]  What fines were those?
[00:06:21 -> 00:06:23]  Did you move her coins?
[00:06:23 -> 00:06:24]  Right
[00:06:24 -> 00:06:28]  So I went in nice and early to go and try and identify
[00:06:28 -> 00:06:32]  Some coins so that I could share that with her and she could share that with everyone else
[00:06:32 -> 00:06:38]  It could be I think it says I thought I don't know it definitely says that i'm just not sure what the printer well
[00:06:38 -> 00:06:40]  But I have you
[00:06:42 -> 00:06:46]  Well, so many it's when you don't have any imagination how to call your children
[00:06:47 -> 00:06:49]  I guess yes
[00:06:49 -> 00:06:51]  Um, it wasn't me. It was maya
[00:06:52 -> 00:06:56]  Maya came in later and took that tray away and two of those
[00:06:57 -> 00:07:01]  Coins ended up in different bags. I was the one who rescued the situation
[00:07:03 -> 00:07:08]  I didn't steal it. I asked her permission if I could use it. Johanna and I sometimes fight over
[00:07:09 -> 00:07:13]  stuff in the fines room because I want to take loads of pretty social media pictures of them and
[00:07:14 -> 00:07:19]  Sort of share some of our discoveries and she likes to have everything in its in its place
[00:07:20 -> 00:07:23]  Yeah, I think it was probably me that took the box of coins
[00:07:32 -> 00:07:34]  So
[00:07:39 -> 00:07:44]  I've been an archaeologist for as long as I could possibly remember, but it wasn't until
[00:07:45 -> 00:07:50]  My my very early 20s that I went back to university as a mature student
[00:07:50 -> 00:07:58]  The first summer of that first year I went to do field work and that changed everything for me
[00:07:59 -> 00:08:03]  I found the first first artifact of the dig. It was a small
[00:08:04 -> 00:08:12]  Bone point, you know, I didn't just find that point, but I found my point and really discovered myself
[00:08:14 -> 00:08:16]  Okay
[00:08:16 -> 00:08:23]  So very excited when you were talking at dinner about um circular things cutting circular fingers kind of circular things
[00:08:24 -> 00:08:26]  Um
[00:08:27 -> 00:08:29]  It's not it's not helping is it
[00:08:29 -> 00:08:31]  um
[00:08:31 -> 00:08:32]  So even with that
[00:08:32 -> 00:08:39]  Um up against um, you know this terrible sunlight, which is great for archaeologists not so great for the archaeology
[00:08:39 -> 00:08:41]  Um, talk talk me through what you have
[00:08:42 -> 00:08:44]  So you've got
[00:08:44 -> 00:08:46]  Something coming through
[00:08:46 -> 00:08:48]  Okay
[00:08:48 -> 00:08:52]  We're not entirely sure what it is because it seems like a bigger bit. Okay, then we've got theories
[00:08:53 -> 00:08:58]  So just to recap on on that so I can see that they've got slightly more stone on your edge here
[00:08:59 -> 00:09:02]  Is this outside of everything? Is your line coming through?
[00:09:02 -> 00:09:04]  Got it. Okay
[00:09:04 -> 00:09:12]  I feel like I need to apologize for this kind of very objective. Oh, it's a um, it's a circular feature or it's an amorphous blob
[00:09:12 -> 00:09:16]  It's vital that you know when we're digging we don't pre-judge what it is that we've got
[00:09:17 -> 00:09:23]  And so I hope everyone understands that um, we're not just being cagey, uh, we're being good archaeologists
[00:09:24 -> 00:09:28]  I don't know why archaeologists they just refuse to name anything because if they name it they feel like they've committed
[00:09:28 -> 00:09:30]  And I think archaeologists just have commitment issues
[00:09:30 -> 00:09:35]  We know that monasteries one of the things about these monasteries is they're big sites where they do lots of production
[00:09:35 -> 00:09:38]  They do a bit creating things. There's lots of crafts and industry
[00:09:38 -> 00:09:40]  um, so
[00:09:40 -> 00:09:46]  We're fairly confident. It's early medieval. That's the first battle because it's cut by by later graves, which gives us a kind of later
[00:09:46 -> 00:09:48]  Upper day to which it could be
[00:09:48 -> 00:09:54]  Um, and at this stage, we're at the stage of lots of potential, you know, we need to dig it
[00:09:54 -> 00:09:58]  Um, but I think i'm particularly excited by the possibility of that
[00:09:58 -> 00:10:05]  You see what we have from this is that small find. I think it's 135 which is um, crucible like it's ceramic. It's um,
[00:10:06 -> 00:10:11]  Could have been used in a process but might be superstructure rather than used as a crucible
[00:10:11 -> 00:10:13]  And but got our
[00:10:13 -> 00:10:16]  Archaeometallurgist gerry mcdonnell really really excited
[00:10:16 -> 00:10:22]  So what i'm trying to understand is whether this is related to any of that burnt material down below
[00:10:22 -> 00:10:29]  What we thought was just a really small half was suddenly turning into this great big burnt feature backfilled
[00:10:29 -> 00:10:32]  About maybe seven eight meters across potentially
[00:10:33 -> 00:10:35]  We realized that we've got
[00:10:35 -> 00:10:37]  What hints of iron smithing?
[00:10:37 -> 00:10:42]  Even maybe iron smelting copper alloy working. Um
[00:10:43 -> 00:10:48]  But we only just started to scratch the edge of that feature. It's a big feature top secret. It is a kiln
[00:10:50 -> 00:10:57]  We know this because we've got metal work in debris, um, but for now, um, we'll just call it a circular feature
[00:10:57 -> 00:10:59]  the archaeomag
[00:11:00 -> 00:11:03]  Person i'm going to abbreviate it because I can't say the full word
[00:11:03 -> 00:11:06]  It's coming out to site and then maybe when they call it something
[00:11:07 -> 00:11:10]  We'll be we'll not be so reluctant to call it that
[00:11:10 -> 00:11:13]  So when someone else says it we're okay to call it that. Yeah
[00:11:15 -> 00:11:17]  It's not our fault then if it's wrong
[00:11:22 -> 00:11:25]  It was interesting looking at the area as a whole because
