[00:00:00 -> 00:00:05]  I've led six botany and foraging intensives, each one in a different place in a different season.
[00:00:07 -> 00:00:13]  Hello, my name is Tom Elpel, the founder of Green University and the author of Botany in a Day,
[00:00:13 -> 00:00:15]  the Patterns Method of Plant Identification.
[00:00:16 -> 00:00:20]  The idea to teach a botany and foraging intensive
[00:00:20 -> 00:00:28]  arose after publishing the book Foraging the Mountain West with co-author Chris Reed in 2014.
[00:00:28 -> 00:00:34]  It was really a selfish idea because I wanted to travel and learn from other instructors across the West.
[00:00:34 -> 00:00:41]  I co-hosted the first botany and foraging intensive with Kyle Chamberlain in Eastern Washington,
[00:00:41 -> 00:00:49]  and the class was actually a full month long, and we toured parts of Washington and Idaho and Oregon.
[00:00:50 -> 00:00:56]  I primarily taught the plant identification side of the course, while Kyle focused on the foraging and the ecology,
[00:00:56 -> 00:00:59]  and we wove in some primitive skills as well.
[00:01:00 -> 00:01:05]  Every year is different as we explore a new place in a new season and see what's out there.
[00:01:06 -> 00:01:11]  More than just a class, there is a tribal aspect of living together in community and
[00:01:11 -> 00:01:17]  traveling together on a botanical adventure. It was Kyle's genius that we also toured
[00:01:18 -> 00:01:25]  gardens and orchards and permaculture farms that really set the pattern for the botany and foraging intensive ever since.
[00:01:25 -> 00:01:31]  Kyle's homestead served as a base camp for the first week of the program as we did day trips out from there,
[00:01:31 -> 00:01:35]  and it was a hot one with temperatures over 100 degrees every day.
[00:01:36 -> 00:01:42]  Then we headed out on a road trip into the Snake River country of Idaho to see what else was out there.
[00:01:43 -> 00:01:48]  The typical class format is that we'll spend about half a day doing plant identification,
[00:01:49 -> 00:01:53]  where students gain proficiency in keying out plants with botany in a day.
[00:01:54 -> 00:01:56]  The other half of the day will focus on
[00:01:57 -> 00:02:02]  foraging, herbalism, primitive skills, or sustainable living and permaculture type tours.
[00:02:03 -> 00:02:09]  And in this case, we visited my friend Don, who has a homestead deep in the Snake River country where
[00:02:09 -> 00:02:15]  plums and apricots and blackberries grow wild all over the place, and he's got orchards of
