[00:00:00 -> 00:00:05]  Welcome to Talking Tuesday.
[00:00:05 -> 00:00:08]  I am your host, Fancy Quant, and today we are going to talk about the perspective of
[00:00:08 -> 00:00:13]  being a manager, and just more specifically, me being a manager.
[00:00:13 -> 00:00:20]  So I've done this over the years, past firms, you know, you do the typical growth progression
[00:00:20 -> 00:00:22]  or at least you should.
[00:00:22 -> 00:00:26]  If you don't, you miss out on a lot of, I think, perspectives as you grow up, but you
[00:00:26 -> 00:00:31]  start typically as an individual contributor, so you're the person that's actually doing
[00:00:31 -> 00:00:32]  the work.
[00:00:32 -> 00:00:38]  So you start your job, you're just an employee just getting stuff assigned to you, and you
[00:00:38 -> 00:00:41]  just do what they tell you to do, and hopefully if you work somewhere good, you have a really
[00:00:41 -> 00:00:47]  good learning curve, and you learn a lot in the first few years, and then as you probably
[00:00:47 -> 00:00:53]  get into about five years, you're probably doing project management or team management,
[00:00:53 -> 00:00:57]  and from a quant perspective, this is not what most people think.
[00:00:57 -> 00:01:01]  So the way that I view this, the way I think it should be done, the way it's been done
[00:01:01 -> 00:01:06]  at most of the firms I'm at, you're an individual contributor, and then as you become like a
[00:01:06 -> 00:01:12]  manager essentially, you don't really have direct reports in this kind of gray area here,
[00:01:12 -> 00:01:17]  you're like a vice president-ish, I don't know what you want to call it in other terms,
[00:01:17 -> 00:01:21]  but you're going to be in a position where essentially you're running teams on projects.
[00:01:21 -> 00:01:25]  So originally you were working for someone on projects and just getting stuff done.
[00:01:25 -> 00:01:29]  Now you have like a managing director who just gives you projects, and you just need
[00:01:29 -> 00:01:35]  to complete them, and you're assigned typically one or two junior employees to help you with
[00:01:35 -> 00:01:37]  a lot of analytical work and a lot of the model development work here.
[00:01:37 -> 00:01:42]  So I think it's a good spot to be in, in the sense that you actually have to still do the
[00:01:42 -> 00:01:43]  work.
[00:01:43 -> 00:01:45]  You don't get to just tell people what to do, which I think a lot of people think like,
[00:01:45 -> 00:01:49]  oh, as soon as I'm going to be a manager, I'm just going to tell people what to do,
