[00:00:00 -> 00:00:02]  Oh my God!
[00:00:04 -> 00:00:06]  I'm back! I'm back! I'm back!
[00:00:06 -> 00:00:08]  Back! Back! Back!
[00:00:08 -> 00:00:10]  Back! Back! Back!
[00:00:20 -> 00:00:24]  Hey, what is up, guys? It is Liz and I am back at it again with another video.
[00:00:24 -> 00:00:26]  And oh my God, guys!
[00:00:26 -> 00:00:30]  Sobrang tagal ko nang hindi nag-upload.
[00:00:30 -> 00:00:33]  I was honestly busy with school.
[00:00:33 -> 00:00:35]  Because for the past year, I was graduating.
[00:00:35 -> 00:00:36]  It was my last year in Polsai.
[00:00:36 -> 00:00:39]  And at the same time, I was applying for my dream law school.
[00:00:39 -> 00:00:43]  So I'll make another video for that.
[00:00:43 -> 00:00:44]  Like which ones I passed.
[00:00:44 -> 00:00:47]  I actually had a result na for one of them.
[00:00:47 -> 00:00:50]  But it's going to be a surprise.
[00:00:50 -> 00:00:51]  But today...
[00:00:53 -> 00:00:55]  I need water.
[00:00:56 -> 00:00:58]  A few moments later.
[00:00:58 -> 00:01:00]  Okay, game!
[00:01:00 -> 00:01:06]  So today's video is all about my college, political science, question and answer, Q&A.
[00:01:06 -> 00:01:09]  Because I got a lot of messages from all of you.
[00:01:09 -> 00:01:15]  I was actually having second thoughts about continuing my YouTube channel.
[00:01:15 -> 00:01:18]  But I got a lot of positive feedback.
[00:01:18 -> 00:01:24]  The people who messaged me and who said that my videos were really helpful.
[00:01:24 -> 00:01:28]  Kasi syempre, what will keep me going naman is of course your support.
[00:01:28 -> 00:01:33]  And also knowing that I am helping a lot of people.
[00:01:34 -> 00:01:36]  Ah, bakit ako may fur?
[00:01:38 -> 00:01:41]  So before we start off this Q&A, if you're not like a political science student.
[00:01:41 -> 00:01:43]  And you're not planning to go into political science.
[00:01:43 -> 00:01:47]  You can go ahead and skip right to the part where I talk about the college Q&A tips.
[00:01:47 -> 00:01:49]  So without further ado.
[00:01:50 -> 00:01:52]  Shit, na-miss ko sabihin to.
[00:01:52 -> 00:01:54]  Let's get started!
[00:02:00 -> 00:02:02]  Okay, so for the first part.
[00:02:02 -> 00:02:06]  Andami kasing nag-ask regarding political science questions follow up.
[00:02:06 -> 00:02:09]  In the comment section, in my Instagram DMs.
[00:02:09 -> 00:02:12]  Asan tinanap niyo pa talaga ako sa Instagram guys ha?
[00:02:12 -> 00:02:14]  Effort niyo naman.
[00:02:14 -> 00:02:16]  Okay, so for the first question.
[00:02:16 -> 00:02:19]  What to expect in political science classes?
[00:02:19 -> 00:02:22]  Basically, I actually answered this na here.
[00:02:23 -> 00:02:25]  But the gist of it is.
[00:02:25 -> 00:02:27]  You have to expect to read a lot and to write a lot.
[00:02:27 -> 00:02:31]  Because as political science majors, you're expected to become research writers.
[00:02:31 -> 00:02:33]  And those are the skills that you will be needing.
[00:02:33 -> 00:02:36]  To become effective political science students.
[00:02:36 -> 00:02:37]  Next is.
[00:02:37 -> 00:02:41]  What is your advice for graduating senior high school.
[00:02:41 -> 00:02:44]  That want to take a political science in college?
[00:02:44 -> 00:02:47]  First of all, is you have to prime yourself.
[00:02:47 -> 00:02:49]  And start reading a lot.
[00:02:49 -> 00:02:51]  It will be the most helpful.
[00:02:51 -> 00:02:55]  If not one of the most helpful skills that you'll need in the course.
[00:02:55 -> 00:02:57]  And of course, in line with that.
[00:02:57 -> 00:03:01]  You have to develop good essay writing and research skills.
[00:03:01 -> 00:03:04]  Because all my political science classes have this as a requirement.
[00:03:04 -> 00:03:07]  And most of them, for the final requirement.
[00:03:07 -> 00:03:09]  Which is like 20% of your grade.
[00:03:09 -> 00:03:14]  They'll ask for an essay paper or a full-blown research paper.
[00:03:14 -> 00:03:15]  Next is.
[00:03:15 -> 00:03:18]  Of course, as political science students guys.
[00:03:18 -> 00:03:21]  You have to make it a habit to read the news.
[00:03:21 -> 00:03:23]  You have to be updated.
[00:03:23 -> 00:03:25]  On what the D.D.C. are doing.
[00:03:25 -> 00:03:27]  The foolishness.
[00:03:27 -> 00:03:28]  The...
[00:03:29 -> 00:03:30]  Oops.
[00:03:32 -> 00:03:33]  We might get scolded there.
[00:03:35 -> 00:03:38]  Because all of those things are relevant.
[00:03:38 -> 00:03:39]  When it comes to.
[00:03:43 -> 00:03:44]  Wow, it lagged.
[00:03:44 -> 00:03:47]  When it comes to political science classes.
[00:03:47 -> 00:03:50]  Because usually, we have discussions about the ongoing events.
[00:03:50 -> 00:03:51]  So local politics.
[00:03:51 -> 00:03:53]  Read a lot on global politics as well.
[00:03:53 -> 00:03:55]  Because your classes are not just theories.
