[00:00:00 -> 00:00:03]  Cognitive Behavior Therapy Vicious
[00:00:03 -> 00:00:06]  Cycles by Getselfhelp.co.uk
[00:00:06 -> 00:00:11]  Cognitive Behavior Therapy or CBT
[00:00:11 -> 00:00:13]  looks at the links between thoughts,
[00:00:13 -> 00:00:17]  feelings and behaviors. How you think
[00:00:17 -> 00:00:19]  about yourself, the world and other
[00:00:19 -> 00:00:22]  people, which is generally a result of
[00:00:22 -> 00:00:28]  earlier experiences in life. CBT tends to
[00:00:28 -> 00:00:30]  focus on the here and now and although
[00:00:30 -> 00:00:33]  therapy helps to make sense of the past
[00:00:33 -> 00:00:35]  and understand the way it has shaped your
[00:00:35 -> 00:00:38]  life, and that's really important to do,
[00:00:38 -> 00:00:42]  CBT mainly looks at ways to improve your
[00:00:42 -> 00:00:46]  current situation and future.
[00:00:48 -> 00:00:51]  So CBT says there is a trigger or a
[00:00:51 -> 00:00:56]  situation that we think about, so we have
[00:00:56 -> 00:00:59]  thoughts in reaction to the trigger or
[00:00:59 -> 00:01:01]  situation, and as a result of those
[00:01:01 -> 00:01:06]  thoughts we feel an emotion and we have
[00:01:06 -> 00:01:09]  some physical sensations, and as a result
[00:01:09 -> 00:01:12]  of those thoughts and feelings we behave,
[00:01:12 -> 00:01:16]  we react in a certain way.
[00:01:19 -> 00:01:23]  We tend to think that in response to an
[00:01:23 -> 00:01:27]  event we feel emotion or behave in a
[00:01:27 -> 00:01:32]  certain way. Epictetus, a Greek-born
[00:01:32 -> 00:01:35]  Roman slave in the first century, said
[00:01:35 -> 00:01:39]  men are disturbed not by things but by
[00:01:39 -> 00:01:42]  the view they take of them. So he's
[00:01:42 -> 00:01:47]  saying, and CBT agrees, that it's not the
[00:01:47 -> 00:01:50]  event which causes our emotion and
[00:01:50 -> 00:01:54]  behavioural response, but it's the meaning
[00:01:54 -> 00:01:59]  or the thoughts about the event which
[00:01:59 -> 00:02:02]  causes us to feel and behave in a
[00:02:02 -> 00:02:08]  certain way. For example, in the middle of
[00:02:08 -> 00:02:17]  the night you might hear a loud crash, so
[00:02:17 -> 00:02:21]  if you think, oh gosh there's an intruder,
[00:02:21 -> 00:02:24]  they might come and hurt me, you're going
[00:02:24 -> 00:02:31]  to feel frightened. If you think, my son's
[00:02:31 -> 00:02:35]  drunk again, then you might feel angry or
[00:02:35 -> 00:02:41]  annoyed. Or if you think, the cat's knocked
[00:02:41 -> 00:02:44]  over that biscuit tin again, then that
[00:02:44 -> 00:02:47]  might feel OK, or perhaps mildly annoyed.
[00:02:47 -> 00:02:54]  And if you think, oh gosh my clumsy
[00:02:54 -> 00:02:59]  daughter is home safe, then you're going to
[00:02:59 -> 00:03:03]  feel relieved. It's the same event, same
[00:03:03 -> 00:03:07]  situation, but the different meanings
[00:03:07 -> 00:03:10]  that we give it lead to different
[00:03:10 -> 00:03:17]  emotions. So we can make sense of our
[00:03:17 -> 00:03:20]  emotions using vicious cycle diagrams,
[00:03:20 -> 00:03:23]  looking at the thoughts, feelings and
[00:03:23 -> 00:03:27]  behaviours and trying to make changes.
[00:03:27 -> 00:03:35]  The vicious cycle of anxiety.
[00:03:35 -> 00:03:38]  There is a trigger, whatever that trigger
[00:03:38 -> 00:03:41]  is. It might be a thought, it might be a
[00:03:41 -> 00:03:43]  feeling, it might be an external event.
[00:03:43 -> 00:03:48]  With anxiety the thoughts are generally
