[00:00:00 -> 00:00:04]  მხეყოுდზულ'მხანე�²76
[00:00:17 -> 00:00:20]  დდთ მვრაღც ა ოდამი მხციე ღიებ,
[00:00:20 -> 00:00:24]  сайхан оран жорғас ұхлет ұрчоуі В-поцұғрділ тағызғың.
[00:00:24 -> 00:00:28]  Бұр бічгерр бідзүң джиджік сүңғі түчму дизайні ніксік бұлдүң.
[00:00:28 -> 00:00:31]  Ұдгерр ұзүлсід ұйун хамұе нідлік бәнве.
[00:00:31 -> 00:00:34]  Тірін машинңи, дзәрім елмін түуділім,
[00:00:34 -> 00:00:38]  тішең зораз, дұрс, бід, текстүр бұйо метрәр шинд,
[00:00:38 -> 00:00:40]  мұн баланс бұйо, тін түр.
[00:00:40 -> 00:00:43]  Ұдгеррің тиім түшпішімшік, саныңдық бұлдап,
[00:00:43 -> 00:00:46]  тіт хамұдда бідні ұхарч бұлді етші чатұқ,
[00:00:46 -> 00:00:49]  бұқ түлсің бұй бұлдүң.
[00:00:49 -> 00:00:52]  Хүрвейта орың ұрым құттелшік үйтсу үйбал,
[00:00:52 -> 00:00:55]  Ұны сөйір үнтсін маңғат үйтенд әмшіқтеп әршулған.
[00:00:56 -> 00:00:57]  Құстың құстым біді тәнд,
[00:00:57 -> 00:01:00]  сөйір әсінің үлің жақ маҷолын дөстбен,
[00:01:00 -> 00:01:03]  та әдгеррің орың ұлғылғын дизайндаш әшүңіл жолын.
[00:01:03 -> 00:01:06]  Та бұқтере ғамғи үңғи үлмейтез үллейд өтіцүгей.
[00:01:06 -> 00:01:07]  Қорас.
[00:01:07 -> 00:01:09]  Қорасың ұйір ба түңіздейш
[00:01:40 -> 00:01:41]  Құстыңға әшүңіл.
[00:01:41 -> 00:01:43]  Құстың ұйір
[00:01:43 -> 00:01:46]  Құстуң ұйір
[00:01:59 -> 00:02:01]  Құстуң ұйір
[00:02:03 -> 00:02:05]  Құстуң ұйір
[00:02:05 -> 00:02:35]  მთლხდინოარვლბის ჩიის ვართტლივსარრვლის მარვლიმ მირ ებივარვლთტლივლირვრვბი მირ რვლიუთუ
[00:02:35 -> 00:02:39]  Әұлғдың, бұр абстракт зорғыч бас маңшік дұрсез бұңдзімедүң.
[00:02:40 -> 00:02:43]  Дұрсын өдір-бұр дизайнд маңш өрүгі хүріңдің.
[00:02:43 -> 00:02:45]  Тет-тәні контентік цүңділді әрүгдолғын,
[00:02:45 -> 00:02:48]  айсөл қоғарындың әлға табарғаджүң.
[00:02:48 -> 00:02:49]  Дұрсы ринңген зорғиң зұрджолғын,
[00:02:50 -> 00:02:53]  Әұлғың, бұр абстракт зорғы өрүгі хүрің дұрсез бас маңшің.
[00:02:53 -> 00:02:55]  Дұрсы үдін маңш тұңғал, Өтшырын,
[00:02:55 -> 00:02:57]  тет-маңш үйтүңділдің сөйір өңдзім.
