[00:00:00 -> 00:00:04]  Introduction to Epistemology
[00:00:04 -> 00:00:07]  At the beginning of Aristotle's work, Metaphysics, he states,
[00:00:07 -> 00:00:10]  All men by nature desire to know.
[00:00:10 -> 00:00:12]  But what does it mean to know?
[00:00:12 -> 00:00:16]  This is one of the questions that is addressed by the field of epistemology,
[00:00:16 -> 00:00:19]  and in this lecture we will introduce epistemology.
[00:00:19 -> 00:00:24]  Specifically, we will examine the meanings of the terms epistemology and knowledge,
[00:00:24 -> 00:00:26]  look at what it means to know,
[00:00:26 -> 00:00:29]  examine some of the questions which epistemology addresses,
[00:00:29 -> 00:00:33]  and discuss why such a field arose in the first place.
[00:00:35 -> 00:00:39]  The term epistemology is derived from the Greek word, episteme,
[00:00:39 -> 00:00:42]  which means knowledge, and the suffix, ology,
[00:00:42 -> 00:00:45]  which signifies the doctrine or study of.
[00:00:45 -> 00:00:47]  So by combining these two terms,
[00:00:47 -> 00:00:51]  it is apparent that the word epistemology means the doctrine or study of knowledge,
[00:00:51 -> 00:00:55]  but more commonly it is referred to as the theory of knowledge.
[00:00:56 -> 00:00:59]  What would a theory of knowledge consist of?
[00:00:59 -> 00:01:03]  Epistemology attempts to answer a number of fundamental questions.
[00:01:03 -> 00:01:06]  Some examples of these questions include,
[00:01:06 -> 00:01:08]  What is the nature of knowledge?
[00:01:08 -> 00:01:11]  What are the obstacles to the attainment of knowledge?
[00:01:11 -> 00:01:13]  What can be known?
[00:01:13 -> 00:01:16]  And how does knowledge differ from opinion or belief?
[00:01:16 -> 00:01:19]  Thus, when one is said to have an epistemology,
[00:01:19 -> 00:01:22]  it means that they have a theory which addresses such questions.
[00:01:23 -> 00:01:26]  How is knowledge obtained?
[00:01:26 -> 00:01:31]  Traditionally, philosophers have distinguished two main methods of knowledge acquisition.
[00:01:31 -> 00:01:35]  One way is through the senses or via one's experience.
[00:01:35 -> 00:01:38]  I can, for example, examine a plant,
[00:01:38 -> 00:01:43]  and through the experience produced by my senses come to know certain characteristics of it,
[00:01:43 -> 00:01:48]  such as its shape, size, smell, texture, and whether it produces fruits or flowers.
[00:01:49 -> 00:01:54]  Those who believe that this is the main way people obtain knowledge are called empiricists.
[00:01:56 -> 00:01:59]  However, as people have known for thousands of years,
[00:01:59 -> 00:02:03]  sometimes the information given to us via our senses is deceiving.
[00:02:03 -> 00:02:07]  For example, our senses seem to tell us the earth is flat,
[00:02:07 -> 00:02:10]  but we now know such a belief to be false.
[00:02:10 -> 00:02:13]  So can our senses always be trusted?
[00:02:14 -> 00:02:20]  Furthermore, some contemporary philosophers have stressed that our bodies and sensory apparatus
[00:02:20 -> 00:02:24]  influence how we interpret the entirety of reality outside of us.
[00:02:24 -> 00:02:30]  For example, the way the world looks to a bat is likely quite different from the way it appears to us humans.
[00:02:30 -> 00:02:36]  Such speculation has led some to emphasize the important influencing effect that our bodies,
[00:02:36 -> 00:02:39]  and the sensory equipment we have evolved,
[00:02:39 -> 00:02:42]  have on our pursuit of knowledge about the world.
[00:02:43 -> 00:02:48]  Such speculations and skepticisms on the workings of our sensory apparatus
[00:02:48 -> 00:02:52]  have led some to suggest that there must be a way to obtain knowledge
[00:02:52 -> 00:02:57]  which can overcome or correct the sometimes illusory nature of our sense experience.
[00:02:57 -> 00:03:03]  Knowledge, it is posited, can also be obtained via the process of reasoning,
[00:03:03 -> 00:03:08]  and those who stress this route of knowledge acquisition are called rationalists.
[00:03:08 -> 00:03:11]  Often when people introduce epistemology,
[00:03:11 -> 00:03:17]  they do not take the time to examine what type of knowledge the field of epistemology is concerned with,
[00:03:17 -> 00:03:22]  but it is important to take the time to do this given that there is more than one type of knowledge.
[00:03:22 -> 00:03:29]  Generally, epistemology has focused on what is called propositional knowledge, or knowledge of facts.
[00:03:31 -> 00:03:35]  Examples of this type of knowledge include statements such as
[00:03:35 -> 00:03:40]  Knowledge of facts, or propositional knowledge, can be contrasted to practical knowledge,
[00:03:40 -> 00:03:45]  which includes knowledge of how to drive a car, or knowledge of how to play baseball.
[00:03:45 -> 00:03:52]  Practical knowledge is often called know-how because it is the ability to know how to do something.
[00:03:52 -> 00:03:58]  This type of knowledge is important because it is the ability to know how to do something.
[00:03:58 -> 00:04:01]  This type of knowledge is implicit or unconscious,
[00:04:01 -> 00:04:06]  and in fact is knowledge that we utilize every waking second of our lives.
[00:04:06 -> 00:04:13]  For example, we don't have to analyze and gain knowledge of how to walk down a flight of steps each time we encounter a new step.
[00:04:13 -> 00:04:18]  Instead, at an early age we develop the practical knowledge of how to walk down stairs,
[00:04:18 -> 00:04:22]  and unconsciously retain this knowledge for the remainder of our lives.
[00:04:22 -> 00:04:27]  Practical knowledge has typically not been the main concern of epistemology.
[00:04:27 -> 00:04:31]  However, some philosophers, most notably Martin Heidegger,
[00:04:31 -> 00:04:35]  have spent considerable time contemplating this type of knowledge,
[00:04:35 -> 00:04:41]  as he viewed it as a much more fundamental and important type of knowledge than propositional knowledge.
[00:04:41 -> 00:04:45]  An individual could be a genius in quantum physics, however,
[00:04:45 -> 00:04:49]  this type of knowledge is not the only type of knowledge we have.
[00:04:49 -> 00:04:52]  An individual could be a genius in quantum physics, however,
[00:04:52 -> 00:04:59]  this knowledge would be virtually useless if the individual didn't have the practical knowledge of how to get out of bed in the morning.
[00:04:59 -> 00:05:05]  However, as we just said, traditionally the focus of epistemology has been on propositional knowledge.
[00:05:05 -> 00:05:09]  Even when Heidegger philosophized about practical knowledge,
[00:05:09 -> 00:05:14]  he was in fact trying to arrive at propositional knowledge about practical knowledge,
[00:05:14 -> 00:05:18]  or in other words, facts about our practical knowledge.
[00:05:20 -> 00:05:24]  When one declares that they have propositional knowledge, or knowledge of a fact,
[00:05:24 -> 00:05:27]  what exactly does this knowing entail?
[00:05:27 -> 00:05:31]  Or more specifically, what does it mean to know?
[00:05:32 -> 00:05:37]  Nicholas Rescher provides an answer to this question in his book Epistemology,
[00:05:37 -> 00:05:39]  An Introduction to the Theory of Knowledge.
[00:05:39 -> 00:05:40]  He writes,
[00:05:40 -> 00:05:43]  But what is propositional knowledge?
[00:05:43 -> 00:05:46]  It is emphatically not an activity or performance.
[00:05:46 -> 00:05:50]  You cannot answer the question, what are you doing, with the response,
[00:05:50 -> 00:05:53]  I am knowing that Paris is the capital of France,
[00:05:53 -> 00:05:58]  any more than you could say, I am owning this watch, or I am liking roses.
[00:05:58 -> 00:06:01]  Knowing a fact is not something that one does.
[00:06:01 -> 00:06:05]  It is a condition that one has come to occupy in relation to information.
