[00:00:00 -> 00:00:12]  Human resource management.
[00:00:12 -> 00:00:17]  What is a human resource?
[00:00:17 -> 00:00:18]  What is a resource?
[00:00:18 -> 00:00:25]  A resource is something you need to, let's say, produce something, right?
[00:00:25 -> 00:00:30]  Oil, money, blah, blah, blah.
[00:00:30 -> 00:00:33]  A human resource is something special.
[00:00:33 -> 00:00:40]  It's the resource which is somehow linked to, what, to people.
[00:00:40 -> 00:00:46]  Human resource management is about people.
[00:00:46 -> 00:00:47]  What people?
[00:00:47 -> 00:00:48]  Children?
[00:00:48 -> 00:00:49]  No.
[00:00:49 -> 00:00:50]  Customers?
[00:00:50 -> 00:00:51]  No.
[00:00:51 -> 00:00:54]  People inside a company, we name these employees.
[00:00:54 -> 00:01:04]  Okay, the problem with resources is that once you use resources, they get exhausted, okay?
[00:01:04 -> 00:01:17]  So a better term for this is maybe human capital, because once you use capital, if you use it
[00:01:17 -> 00:01:24]  the right way, it grows, adds value.
[00:01:24 -> 00:01:28]  But in practice, it's not so commonly used.
[00:01:28 -> 00:01:34]  Some companies say human capital management, but it's not so commonly used.
[00:01:34 -> 00:01:37]  I know just a few companies who say human capital management.
[00:01:37 -> 00:01:44]  Most companies say human resource management, so that's why we stick to this term, okay?
[00:01:44 -> 00:01:47]  So this is what we're going to do today.
[00:01:47 -> 00:01:48]  Three questions.
[00:01:48 -> 00:01:54]  Of course, you must be able to answer these questions at the end of this semester.
[00:01:54 -> 00:01:55]  What is human resource management?
[00:01:55 -> 00:01:57]  We could talk about this.
[00:01:57 -> 00:02:02]  Which megatrends determine future challenges in HRM?
[00:02:02 -> 00:02:04]  There are some megatrends out there.
[00:02:04 -> 00:02:10]  The world is changing, and this has a huge impact on what we do in human resource management.
[00:02:10 -> 00:02:15]  And then I will show you a kind of overview about what is human resource management all
[00:02:15 -> 00:02:16]  about.
[00:02:17 -> 00:02:18]  Okay?
[00:02:18 -> 00:02:20]  So, let's start with the first question.
[00:02:20 -> 00:02:21]  Here is the definition.
[00:02:21 -> 00:02:22]  No, I start with this.
[00:02:22 -> 00:02:23]  Innovation.
[00:02:23 -> 00:02:24]  This is one megatrend.
[00:02:24 -> 00:02:25]  Okay, you know what this is?
[00:02:25 -> 00:02:26]  The old telephone.
[00:02:26 -> 00:02:27]  Cell phone.
[00:02:27 -> 00:02:28]  iPhone.
[00:02:28 -> 00:02:29]  What's next?
[00:02:29 -> 00:02:30]  What comes after the iPhone?
[00:02:30 -> 00:02:31]  Be sure that.
[00:02:31 -> 00:02:52]  If Apple does not invent something which goes beyond the iPhone, Apple will lose, yeah?
[00:02:52 -> 00:02:57]  It will be the case, definitely, yeah?
[00:02:57 -> 00:03:01]  The iPhone or the smartphone in general, it's not the last thing.
[00:03:02 -> 00:03:06]  In 10 years, we will have something totally different.
[00:03:06 -> 00:03:09]  I promise you.
[00:03:09 -> 00:03:13]  Don't think that Google is the last search engine, yeah?
[00:03:13 -> 00:03:20]  In 10 or 20 years, we will say, oh, do you remember, we used a website called Google,
[00:03:20 -> 00:03:21]  yeah?
[00:03:21 -> 00:03:24]  Old stuff.
[00:03:24 -> 00:03:27]  That was so boring.
[00:03:27 -> 00:03:32]  You had to type in a word and then you got a list.
[00:03:32 -> 00:03:37]  Yeah, we will laugh about it, yeah?
[00:03:37 -> 00:03:42]  The same way as we laugh today about this telephone, I mean, it looks nice, yeah?
[00:03:42 -> 00:03:44]  But we laugh about it.
[00:03:44 -> 00:03:50]  We will laugh about the smartphone, for sure.
[00:03:50 -> 00:03:52]  You will remember our words, yeah?
[00:03:53 -> 00:04:01]  For Apple, that means that they must invent new products now, yeah?
[00:04:01 -> 00:04:06]  For many companies, especially in the Western industry, they say that 80% of our revenue
[00:04:06 -> 00:04:15]  Umsatz, 80% of our revenue is done with products that were invented in the last four years,
[00:04:15 -> 00:04:16]  yeah?
[00:04:16 -> 00:04:17]  You know what that means?
[00:04:17 -> 00:04:24]  That means if we would not have invented these new products, we would be in deep shit
[00:04:24 -> 00:04:29]  today, okay?
[00:04:29 -> 00:04:39]  So innovation is really a megatrend that determines business and the world, yeah?
[00:04:39 -> 00:04:45]  We can find a lot of other examples, but innovation is the trend, yeah?
[00:04:45 -> 00:04:48]  But the question is, what does that mean for the people in the organizations?
[00:04:48 -> 00:04:54]  That's the question, what does that mean, yeah?
[00:04:54 -> 00:04:58]  People have to cope with that, yeah?
[00:04:58 -> 00:05:00]  They have to thrive innovation.
[00:05:00 -> 00:05:05]  They have to be leaders in technology or everything, okay?
[00:05:05 -> 00:05:13]  Think about the car manufacturers like BMW, Daimler and so on.
[00:05:13 -> 00:05:14]  The world is changing.
[00:05:14 -> 00:05:18]  You think about the e-vehicle, yeah?
[00:05:18 -> 00:05:23]  So the engineers, the people in production, everywhere, they have to change their mind.
[00:05:23 -> 00:05:26]  They have to change their skills, their competencies.
[00:05:26 -> 00:05:31]  They have to work with different products because things are changing.
[00:05:31 -> 00:05:38]  So when things change or people have to change things, that matters really to the people,
[00:05:38 -> 00:05:43]  to their work, to their skills, to their challenges in their daily life and so on.
[00:05:43 -> 00:05:48]  So that really matters, okay?
[00:05:48 -> 00:05:58]  And we really can see from statistics that in the last decades, there was a major shift
[00:05:58 -> 00:06:05]  from handwork, which is a great view, to knowledge work.
[00:06:05 -> 00:06:09]  My grandfather worked with his hands, yeah?
[00:06:09 -> 00:06:15]  As most of your grandparents, parents did, they worked with their hands.
[00:06:15 -> 00:06:21]  Work was moving things, combine things and so on.
[00:06:21 -> 00:06:26]  While you, you will work with your brain, yeah?
[00:06:26 -> 00:06:33]  Your work will be nothing else than thinking and communicating, right?
[00:06:33 -> 00:06:43]  Of course you will need your hand, yeah, to catch your smartphone, but you think.
[00:06:43 -> 00:06:51]  So in nowadays world, people mainly think, yeah?
[00:06:51 -> 00:06:57]  And what they think and what they do is totally changed in the last decades, yeah?
[00:06:57 -> 00:07:03]  You can order an employee saying, well, do this by your hand, yeah?
[00:07:03 -> 00:07:09]  Combine these pieces 100 times an hour, do this, I pay you for this, yes, yes, yes, yeah.
[00:07:09 -> 00:07:13]  You can order and you control, you can control.
[00:07:13 -> 00:07:21]  But can you order an employee saying, well, come up with an idea in the next hour?
[00:07:21 -> 00:07:23]  That's hard, yeah?
[00:07:23 -> 00:07:25]  So the type of work totally changed.
[00:07:25 -> 00:07:30]  We'll talk about this multiple times in this lecture, okay?
[00:07:30 -> 00:07:35]  Another megatrend, which you probably have heard of, demographic changes.
[00:07:35 -> 00:07:40]  You all know these pyramids, yeah, these age pyramids, show that, and we have more and
[00:07:40 -> 00:07:45]  more older people, there's younger people, this age pyramid, which rather looks like
[00:07:45 -> 00:07:55]  a journal, yeah, a demographic journal.
[00:07:55 -> 00:07:57]  Here is a different slide, yeah?
[00:07:57 -> 00:08:00]  I think this is more relevant.
[00:08:00 -> 00:08:09]  What you can see here, this red line, these are those in the age of 25 to 34, and the
[00:08:09 -> 00:08:18]  question is, in 2015, in 2020, and so on, how many people will we have in this age,
[00:08:18 -> 00:08:22]  yeah, compared to 2010?
[00:08:22 -> 00:08:31]  So here is zero, okay, and we'll see that until 2015, this population increases, so
[00:08:31 -> 00:08:38]  we will have more people in this particular age, and then the amount of people in this
[00:08:38 -> 00:08:47]  age will decrease, and as a rule of thumb, it's about 1% in a year, yeah?
[00:08:47 -> 00:08:55]  It's not 1% in a decade, or 1% in a century, it's 1% in a year, and this is really true,
[00:08:55 -> 00:08:56]  yeah?
[00:08:56 -> 00:09:01]  I mean, who of you has been in Istanbul already?
[00:09:01 -> 00:09:05]  You must go there, it's amazing, it's a young city, yeah?
[00:09:05 -> 00:09:12]  You walk through Istanbul, it's really young, a crowd of young people, it's a party, yeah?
[00:09:12 -> 00:09:16]  And then, you walk through Schwenningen, yeah?
[00:09:16 -> 00:09:25]  Tuesday, 11 o'clock in the morning, and you will see the difference, yeah?
[00:09:25 -> 00:09:32]  Germany gets old, yeah, and that's the same with many Western industries, okay?
[00:09:32 -> 00:09:39]  Especially when you look at the group of 65 plus, this line, yeah?
[00:09:39 -> 00:09:43]  It's growing steady, yeah?
[00:09:43 -> 00:09:54]  Or look at the population 50 to 64, this one, it's growing in the next 10 years, 10, 15
[00:09:54 -> 00:09:57]  years dramatically, what does that mean?
[00:09:57 -> 00:10:01]  For human resource, what does that mean?
[00:10:02 -> 00:10:07]  These people will retire, okay?
[00:10:07 -> 00:10:13]  And when they will retire, you have to replace these people, okay?
[00:10:13 -> 00:10:20]  Companies lose very experienced people in the next few years, a lot of them, so you
[00:10:20 -> 00:10:23]  have to have new people, yeah?
[00:10:23 -> 00:10:29]  But they are getting less and less, so this is the problem I'm talking about, yeah?
[00:10:29 -> 00:10:35]  If you have a demographic change, and it's the same in many Western industries, and this
[00:10:35 -> 00:10:41]  demographic change will lead to something that we call a talent shortage.
[00:10:41 -> 00:10:45]  Talent shortage, fuck that, you know?
[00:10:45 -> 00:10:50]  There are not enough people out there, okay?
[00:10:50 -> 00:10:57]  Qualified people, and as I said, companies more and more need qualified people, because
[00:10:58 -> 00:11:03]  the world is changing from a world where we work with the hands to the world where we
[00:11:03 -> 00:11:07]  work with the brain, okay?
[00:11:07 -> 00:11:11]  So these are already two trends.
[00:11:11 -> 00:11:16]  And next trend, globalization, yeah?
[00:11:16 -> 00:11:21]  This is the term in global trade development, yeah?
[00:11:21 -> 00:11:27]  In the last few years, and it's dramatically increasing.
[00:11:27 -> 00:11:34]  Global trade, so we know that Germany is a company that primarily exports products.
[00:11:34 -> 00:11:38]  And this is not only the case for Germany, I mean, Germany is the leader in that.
[00:11:38 -> 00:11:44]  But it's the same, you have the same pattern for most other Western industries, yeah?
[00:11:44 -> 00:11:51]  So today, nations produce their products to export them.
[00:11:51 -> 00:11:54]  We got a global market.
[00:11:55 -> 00:12:01]  And this is really different today compared to, let's say, 10 or 20 years, yeah?
[00:12:01 -> 00:12:03]  So it's really changing.
[00:12:03 -> 00:12:06]  What does that mean for the people?
[00:12:06 -> 00:12:13]  If you look at the company, even a small or mid-sized company here in the middle of Black Forest,
[00:12:13 -> 00:12:20]  it might be a small company, but you can assume that even small companies in the middle of nowhere,
[00:12:20 -> 00:12:28]  they act globally, because their customers are beyond German borders, okay?
[00:12:28 -> 00:12:32]  So globalization is a key trend.
[00:12:32 -> 00:12:36]  There is a book which is really great by Thomas Friedman,
[00:12:36 -> 00:12:39]  The World is Flat.
[00:12:39 -> 00:12:41]  And he writes about globalization.
[00:12:41 -> 00:12:44]  And there was one story which I especially like.
[00:12:44 -> 00:12:49]  He said, you all know McDonald's drive-in, yeah?
[00:12:49 -> 00:12:54]  If you drive to a McDonald's drive-in in the States,
[00:12:54 -> 00:12:59]  you come to this place where you have to make your order, right?
[00:12:59 -> 00:13:01]  There's a person talking to you.
[00:13:01 -> 00:13:03]  Your order, please.
[00:13:03 -> 00:13:09]  And you assume that this person you just talk with is sitting in this restaurant.
[00:13:09 -> 00:13:11]  No, this is probably not the case.
[00:13:11 -> 00:13:14]  The person you talk with is sitting in India.
[00:13:15 -> 00:13:19]  There is no need that this person,
[00:13:19 -> 00:13:21]  which is taking the order,
[00:13:21 -> 00:13:23]  sitting in this particular restaurant.
[00:13:23 -> 00:13:25]  This is a person sitting in India,
[00:13:25 -> 00:13:29]  taking order for very different McDonald's restaurants all over the States.
[00:13:29 -> 00:13:33]  So give me one job, tell me one job,
[00:13:33 -> 00:13:38]  which cannot be, let's say, outsourced, exported, yeah?
[00:13:38 -> 00:13:40]  Okay, hairdresser.
