[00:00:00 -> 00:00:07]  Bandages and bandaging techniques.
[00:00:07 -> 00:00:11]  Now that you've addressed your airway, breathing and circulation, your next priority is to
[00:00:11 -> 00:00:13]  control serious bleeding.
[00:00:13 -> 00:00:15]  This can be done in a number of ways.
[00:00:15 -> 00:00:19]  Firstly, if you have your latex gloves on, you can use your hand.
[00:00:19 -> 00:00:23]  Secondly, any other pieces of material that are available.
[00:00:23 -> 00:00:29]  Obviously it is better to use the bandages contained in your first aid kit.
[00:00:29 -> 00:00:34]  Your first aid kit should include major wound dressings.
[00:00:34 -> 00:00:39]  Major wound dressings are used to control severe bleeding and to cover large wounds.
[00:00:39 -> 00:00:41]  Roller bandages.
[00:00:41 -> 00:00:45]  Roller bandages are used to keep dressings in place, support an injured limb and apply
[00:00:45 -> 00:00:51]  pressure to control bleeding.
[00:00:51 -> 00:00:54]  Non-adherent wound dressings.
[00:00:54 -> 00:01:00]  Adherent wound dressings are dressings used on burns, abrasions and other skin injuries.
[00:01:00 -> 00:01:04]  Minor wound adhesive dressings.
[00:01:04 -> 00:01:08]  Minor wound adhesive dressings are used to protect a minor wound from infection and to
[00:01:08 -> 00:01:11]  control minor bleeding.
[00:01:11 -> 00:01:13]  Cold compressors.
[00:01:13 -> 00:01:18]  Cold compressors are used to reduce pain and reduce swelling.
[00:01:18 -> 00:01:19]  Eye pads.
[00:01:19 -> 00:01:24]  Eye pads are used to cover and protect an eye injury.
[00:01:24 -> 00:01:26]  Triangular bandage.
[00:01:26 -> 00:01:31]  Triangular bandages are used for bandaging the hand, foot or head or as a sling for the
[00:01:31 -> 00:01:35]  arm.
[00:01:35 -> 00:01:40]  A very useful bandage in your first aid kit is the triangular bandage.
[00:01:40 -> 00:01:47]  This can be used for slings, for padding or even a doughnut bandage.
[00:01:47 -> 00:01:49]  How to make a doughnut bandage.
[00:01:49 -> 00:01:55]  To make a doughnut bandage firstly fold your triangular bandage lengthwise.
[00:01:55 -> 00:02:00]  Now bring the bandage into a loop and fold the bandage onto itself working around the
[00:02:00 -> 00:02:05]  bandage, tucking the material into itself.
[00:02:05 -> 00:02:11]  Doughnut bandages can be used for wounds where bone has broken the skin and embedded objects.
[00:02:11 -> 00:02:19]  When the doughnut bandage is finished it should look like this.
[00:02:19 -> 00:02:22]  How to make a sling.
[00:02:22 -> 00:02:25]  Triangular bandages can be also made into slings.
[00:02:25 -> 00:02:30]  One type of sling is made by lying the triangle across the chest and over the shoulder.
[00:02:30 -> 00:02:35]  The two ends then can be tied behind the neck to support the forearm.
[00:02:35 -> 00:02:43]  To support the elbow either twist and tuck in the third corner or fold and attach with
[00:02:43 -> 00:02:52]  a clip.
[00:02:52 -> 00:02:53]  Major bleed.
[00:02:53 -> 00:02:57]  Attending to a major bleed must be done with speed and accuracy.
[00:02:57 -> 00:03:05]  Apply direct pressure on the wound with a sterile dressing.
