[00:00:00 -> 00:00:04]  บาทสูสดดยพระยมสมฤนสลับ ทางออกคนี่
[00:00:04 -> 00:00:07]  นายนี้ ฉำมีนะบอรทหมย ทำมาย
[00:01:07 -> 00:01:09]  ฮ.นิยสมัคร
[00:01:09 -> 00:01:11]  ฮ.นิยสมัคร
[00:01:11 -> 00:01:13]  ฮ.นิยสมัคร
[00:01:13 -> 00:01:15]  ฮ.นิยสมาธิ
[00:01:15 -> 00:01:17]  bánh chay tui chi nitey away kla
[00:01:17 -> 00:01:19]  nitey thom thom away kla
[00:01:19 -> 00:01:20]  cheng nitey na khnong
[00:01:20 -> 00:01:22]  prateh kambochea roboh yung
[00:01:22 -> 00:01:24]  tui treo bánh banh chay chi 2 thom thom
[00:01:24 -> 00:01:26]  1. nitey sathirana
[00:01:26 -> 00:01:28]  2. nitey ai kachuan
[00:01:28 -> 00:01:30]  hai do khnong nitey thom thom tung 2 ni
[00:01:30 -> 00:01:32]  tui bánh banh chay chi mey thieng
[00:01:32 -> 00:01:34]  chi dom chi dom ta
[00:01:34 -> 00:01:36]  mien nitey away kla
[00:01:36 -> 00:01:38]  da ke jat banh jo ta chi nitey sathirana
[00:01:38 -> 00:01:40]  hai mien nitey away kla
[00:01:40 -> 00:01:43]  da ke jat ta chi nitey ai kachuan
[00:01:43 -> 00:01:45]  bánh na khnong nitey sathirana
[00:01:45 -> 00:01:48]  ni kyu mien nitey robh thom monon
[00:01:48 -> 00:01:51]  nitey ni kyu chi nitey sathirana hai
[00:01:51 -> 00:01:52]  hai nitey robh tabal
[00:01:52 -> 00:01:54]  nitey ponda
[00:01:54 -> 00:01:56]  nitey promotorn
[00:01:56 -> 00:01:58]  nitey sathirana amtrak chiat
[00:01:58 -> 00:01:59]  ni kyu chi cheongkom
[00:01:59 -> 00:02:01]  roboh nitey sathirana
[00:02:01 -> 00:02:03]  hmuy tiet kyu nitey ai kachuan
[00:02:03 -> 00:02:05]  nakhnong noh mien mey thieng chi chalan
[00:02:05 -> 00:02:07]  bangdae kyu mien duy chi
[00:02:07 -> 00:02:09]  nitey pinichakam
[00:02:09 -> 00:02:11]  kyu chi nitey ai kachuan
[00:02:11 -> 00:02:13]  hai nitey ka ngi ko chi nitey ai kachuan
[00:02:13 -> 00:02:15]  hai nitey nipey ksongkom
[00:02:15 -> 00:02:17]  nitey robh away ni
[00:02:17 -> 00:02:19]  nung nitey ai kachuan amtrak chiat
[00:02:19 -> 00:02:21]  ni kyu chi cheongkom
[00:02:21 -> 00:02:23]  nei nitey ai kachuan
[00:02:23 -> 00:02:25]  jat ta
[00:02:25 -> 00:02:27]  ta nitey teung pi ni
[00:02:27 -> 00:02:29]  kyu yuk ta awad
[00:02:29 -> 00:02:31]  teulue away kla
[00:02:31 -> 00:02:33]  jeng cheom mien yey
[00:02:33 -> 00:02:35]  ti mui kyu nitey sathirana
[00:02:35 -> 00:02:37]  away teu chi nitey sathirana
[00:02:37 -> 00:02:39]  na khnong ni nitey sathirana ni
[00:02:39 -> 00:02:41]  kyu mien ney ta chi vithien
[00:02:42 -> 00:02:44]  mien ne khnong rot na mui
[00:02:44 -> 00:02:46]  hai dae somrab riep chom
