[00:00:00 -> 00:00:02]  Coming up on Garden Talk.
[00:00:30 -> 00:00:34]  So like it has to be L-Amino acids or your plants not going to be able to utilize them at all.
[00:00:34 -> 00:00:40]  They actually make compounds that help the plant be able to have a more like fibrous and dense root system.
[00:00:41 -> 00:00:49]  The bacillus and the different types of trichoderma fungi that can be in there are going to be the ones that are doing the majority of the work for everything while mycorrhizae gets all the fame.
[00:00:55 -> 00:00:56]  What's up, everybody?
[00:00:56 -> 00:01:01]  If you that don't know me, my name is Chris, a.k.a. Mr. Grow It, and you're tuned into the Garden Talk podcast.
[00:01:01 -> 00:01:03]  This is episode number 27.
[00:01:03 -> 00:01:06]  In this episode, I talk with Guru from the Do Grow Show.
[00:01:06 -> 00:01:16]  He has been gardening for 11 years and grows a variety of plants such as tomatoes, cucumbers, blueberries, blackberries, medicinal varieties, beets and more.
[00:01:16 -> 00:01:18]  In this episode, we talk all about microbes.
[00:01:18 -> 00:01:22]  He talks about several different types of microbes and how they benefit plant growth.
[00:01:22 -> 00:01:25]  Thanks to all of you that support this podcast through Patreon.
[00:01:25 -> 00:01:30]  If you'd like to support, you can do so by going to patreon.com slash Mr. Grow It.
[00:01:30 -> 00:01:38]  Before I go any further, I want to acknowledge that this podcast is part of my desire and effort to bring zero cost for information about gardening to the general public.
[00:01:38 -> 00:01:42]  In keeping with that theme, I'd like to thank the sponsors of today's podcast.
[00:01:43 -> 00:01:45]  A big supporter of this podcast is Spider Farmer.
[00:01:45 -> 00:01:49]  They sponsored this podcast and I use their LED grow lights.
[00:01:49 -> 00:01:52]  Spider Farmer now has a bar style series of LED grow lights.
[00:01:53 -> 00:01:58]  They have the SE3000, a four bar fixture for a three foot by three foot grow space.
[00:01:59 -> 00:02:04]  The SE5000, a six bar fixture for a four foot by four foot grow space.
[00:02:04 -> 00:02:09]  And the SE7000, a six bar fixture for a five foot by five foot grow space.
[00:02:10 -> 00:02:13]  I will leave a link to Spider Farmer down in the description section below.
[00:02:14 -> 00:02:19]  And you can use discount code MrGrowIt5 during checkout for discount on their products.
[00:02:19 -> 00:02:22]  Thanks to AC Infinity for sponsoring this podcast.
[00:02:22 -> 00:02:29]  They sent me over their grow tent, which has a canvas density of 2000D, making them the thickest grow tent on the market today.
[00:02:29 -> 00:02:35]  It has an aluminum plate that mounts your controller to the grow tent with a light proof pass through for cable routing.
[00:02:35 -> 00:02:41]  The frame has 50% thicker steel poles and carries two times more weight than the standard grow tents.
[00:02:41 -> 00:02:45]  Coupon code MrGrowIt will get you a discount on their products.
[00:02:45 -> 00:02:48]  And I'll leave a link to their website down in the description section below.
[00:02:49 -> 00:02:51]  Dutch Pro is a sponsor of the podcast.
[00:02:51 -> 00:02:55]  Coupon code MrGrowIt10DP will get you a discount on their products.
[00:02:55 -> 00:02:59]  They are a plant fertilizer company that has been around for over 30 years.
[00:03:00 -> 00:03:04]  They originated in Amsterdam and their nutrients are available in several countries across the world.
[00:03:04 -> 00:03:10]  They have everything needed for proper plant nutrition from base nutrients, additives and pH regulators.
[00:03:11 -> 00:03:15]  I will leave a link to Dutch Pro's Amazon store down in the description section below.
[00:03:15 -> 00:03:19]  And don't forget to use coupon code MrGrowIt10DP for a discount on their products.
[00:03:20 -> 00:03:22]  All right, now let's get into the episode.
[00:03:23 -> 00:03:24]  All right, we are back.
[00:03:25 -> 00:03:26]  Welcome to the Garden Talk podcast.
[00:03:26 -> 00:03:31]  I am here joined with the Grow Guru from the Dude Grow Show.
[00:03:31 -> 00:03:31]  How you doing today?
[00:03:32 -> 00:03:33]  What's going on, man?
[00:03:33 -> 00:03:33]  How you doing?
[00:03:33 -> 00:03:34]  Happy to be here.
[00:03:35 -> 00:03:37]  Super excited to have you on, man.
[00:03:37 -> 00:03:41]  I mean, I've been watching the Dude Grow Show for a very long time and you came on.
[00:03:41 -> 00:03:48]  I know you came on like three, four hundred episodes deep or whatever, and you just add so much value to the show.
[00:03:48 -> 00:03:52]  And it's your knowledge is extensive in so many different areas.
[00:03:53 -> 00:03:56]  And yeah, it's definitely really fun watching you.
[00:03:56 -> 00:04:01]  And it's an honor to kind of have you on here and pick your brain even deeper.
[00:04:01 -> 00:04:02]  So I'm excited.
[00:04:02 -> 00:04:03]  Pick away.
[00:04:03 -> 00:04:09]  But before we get into microbes, which is the topic today, we'll get all into microbes.
[00:04:09 -> 00:04:10]  So many different microbes.
[00:04:10 -> 00:04:11]  So much to talk about.
[00:04:12 -> 00:04:14]  Tell us a little bit about yourself and how you got into gardening.
[00:04:15 -> 00:04:18]  So, I mean, it started when I was really young.
[00:04:18 -> 00:04:24]  My grandmother got me into gardening and one of my grandfathers was also a master gardener growing up.
[00:04:24 -> 00:04:26]  So, I mean, it just plants were always around.
[00:04:26 -> 00:04:31]  My mom has a beautiful garden and it was just always something that interests me a lot.
[00:04:32 -> 00:04:33]  Plants are really cool.
[00:04:33 -> 00:04:41]  And I specifically like to take a much more science-approached or science-backed approach to medicinal herb gardening, for sure.
[00:04:41 -> 00:04:42]  Nice.
[00:04:42 -> 00:04:45]  And so you decided to join the Dude Grows show.
[00:04:45 -> 00:04:47]  How did that all come about, if you don't mind me asking?
[00:04:47 -> 00:04:48]  How did you kind of join the team there?
[00:04:48 -> 00:04:50]  And that was in 2017, right?
[00:04:51 -> 00:04:52]  2016.
[00:04:53 -> 00:04:57]  When I first moved out to Colorado, I had met up with Scott a couple years earlier.
[00:04:58 -> 00:05:04]  They had been talking about Black Dog LED and saying that there's no good LEDs out there.
[00:05:04 -> 00:05:05]  They're all blurples and stuff.
[00:05:05 -> 00:05:12]  And at the time, I was in school and designing and building my own LED lights and selling them to some people.
[00:05:12 -> 00:05:15]  Ended up not going along that path.
[00:05:15 -> 00:05:21]  But I got in touch with Scott and was like, hey, you guys are giving people really bad advice about this.
[00:05:21 -> 00:05:22]  LEDs are the future.
[00:05:23 -> 00:05:25]  HPS is like a thing of the past.
[00:05:25 -> 00:05:26]  This is something you need to talk about.
[00:05:26 -> 00:05:30]  You need to let people know that there's good information on this out there.
[00:05:30 -> 00:05:34]  And there are good LEDs out there that far surpass what HPS could do.
[00:05:34 -> 00:05:38]  So Scott flew me out to one of the cups.
[00:05:38 -> 00:05:40]  Came, hung out with him for a while.
[00:05:40 -> 00:05:42]  Decided I was going to move out to Colorado.
[00:05:42 -> 00:05:45]  I was still in school at the time and moved out.
[00:05:45 -> 00:05:49]  And then Scott had a job for me right away and started getting rolling with the Dude Grow Show.
[00:05:50 -> 00:05:50]  That's awesome.
[00:05:50 -> 00:05:53]  I think you guys really complement each other.
[00:05:53 -> 00:05:55]  You know, you all have different personalities.
[00:05:55 -> 00:05:57]  You know, you, Dude, Scotty.
[00:05:57 -> 00:06:00]  And you guys just flow so well together.
[00:06:00 -> 00:06:00]  It's pretty cool.
[00:06:00 -> 00:06:05]  I actually hear that a lot with on my podcast, From the Stash, with me, Rob,
[00:06:05 -> 00:06:07]  Conhenders Lifestyle TV, and Pigeons420.
[00:06:07 -> 00:06:08]  I feel like it's similar.
[00:06:08 -> 00:06:10]  You guys just flow so well together.
[00:06:10 -> 00:06:11]  It's awesome.
[00:06:11 -> 00:06:17]  And actually, I was going to say we're all, and you guys too, we're all really good foils for each other.
[00:06:17 -> 00:06:19]  Everyone has different approaches to things.
[00:06:20 -> 00:06:29]  And it's cool to get those different ideas for as a listener to be able to listen to that and be able to make your own decision off of stuff and hear just a variety of ideas.
[00:06:30 -> 00:06:30]  Well said.
[00:06:30 -> 00:06:31]  I do have a few numbers here.
[00:06:31 -> 00:06:41]  You guys have on the Dude Grows channel over 67,000 subscribers, 1,892 videos, over 9.3 million views combined.
[00:06:41 -> 00:06:45]  So you guys have been very successful and definitely thank you for your efforts there.
[00:06:45 -> 00:06:47]  And I'm excited to see what you guys got in the future.
[00:06:47 -> 00:06:48]  Thank you.
[00:06:48 -> 00:06:55]  Yeah, it was really cool to be able to, like, I grew up in Virginia where, I mean, everything related to medicinal gardening was super hush-hush.
[00:06:56 -> 00:07:05]  And getting out here and being able to be on a YouTube show and share some knowledge with people and get everyone just growing better has been really cool.
[00:07:06 -> 00:07:07]  Living the dream.
[00:07:07 -> 00:07:08]  Right?
[00:07:08 -> 00:07:14]  And helping people, which is, like, one of my favorite things to do and educating them and helping them at the same time.
[00:07:15 -> 00:07:25]  And then, like, my favorite thing is hearing a new grower get back in touch with us, say they found the podcast or the YouTube show and they got their first harvest and it was awesome and how happy they are.
[00:07:25 -> 00:07:27]  That fucking gets me.
[00:07:28 -> 00:07:29]  Super rewarding.
[00:07:29 -> 00:07:30]  Oh, yeah.
[00:07:30 -> 00:07:38]  Before we get deep into specific microbes, tell us, what are microbial inoculants and how are they beneficial in the garden?
[00:07:39 -> 00:07:43]  So there's a couple different ways that those microbial inoculants are going to be beneficial in the garden.
[00:07:43 -> 00:07:53]  First and foremost, they act as root growth promoting rhizobacteria, where they actually make compounds that help the plant be able to have a more, like, fibrous and dense root system.
[00:07:54 -> 00:08:03]  Which, I mean, we've all heard it before, more roots, more fruits and just an overall healthier plant that can absorb more nutrition because plants can only absorb nutrition from the tips of the root.
[00:08:04 -> 00:08:13]  And these plant growth, plant growth promoting rhizobacteria are able to get more tips around by growing out more tertiary and secondary roots.
[00:08:13 -> 00:08:33]  But at the same time, those bacteria have evolved over millions of years in a symbiotic relationship with the plant, where not only do they do that, the plant puts out carbohydrates as exudates to feed them and kind of control the microbial population that's there so that it can exponentially increase the surface area of its root zone.
[00:08:34 -> 00:08:41]  And just those microbes are able to break down nutrient, get it into an ionic form and hold on to it until the plant signals that it needs it.
[00:08:41 -> 00:08:42]  And then they can get it to the plant.
[00:08:43 -> 00:08:48]  And none of that is, that's all as far as, like, plant nutrition and plant growth.
[00:08:49 -> 00:08:52]  They also put up, like, a no vacancy sign to pathogens.
[00:08:53 -> 00:08:57]  They would normally get into your garden and there'd be room for them to grow and expand.
[00:08:57 -> 00:09:03]  And that's when you end up with something like Pythium or Phytophthora, those really bad root diseases.
[00:09:03 -> 00:09:12]  But when you have good beneficial microbes in there, they are making compounds that make it not a hospitable environment for those bad actors.
[00:09:13 -> 00:09:17]  And also just puts up the no vacancy sign telling them, like, hey, there's no room for you here, man.
[00:09:17 -> 00:09:18]  Go somewhere else.
[00:09:18 -> 00:09:19]  That's pretty cool.
[00:09:19 -> 00:09:20]  That makes sense.
[00:09:20 -> 00:09:23]  Now, some folks, I think it's pretty well known.
[00:09:23 -> 00:09:33]  You know, if you're a beginner, you might not know this, but a lot of folks that are above the beginner stage, intermediate stage, know that there are synthetic nutrients that are plant available.
[00:09:33 -> 00:09:35]  They're already in a form that the plant can uptake.
[00:09:35 -> 00:09:40]  Then there are organic nutrients, which need to be broken down by microbes first.
[00:09:40 -> 00:09:43]  And that's where microbes are especially important.
[00:09:43 -> 00:09:50]  You know, having these different microbial inoculants, adding them into the medium to help with that breakdown process is key on the organic side of things.
[00:09:50 -> 00:09:58]  Now, there's some folks out there that are going to say, well, I'm using synthetic bottled nutrients or mineral based, salt based, whatever you want to call it.
[00:10:00 -> 00:10:02]  Microbes aren't going to be beneficial for me at all.
[00:10:03 -> 00:10:04]  Can you give us your thoughts on that?
[00:10:04 -> 00:10:05]  Is that true or not?
[00:10:06 -> 00:10:08]  Oh, first and foremost, definitely not true.
[00:10:08 -> 00:10:15]  I hear this all the time and it's one of the big myths in gardening, especially in that synthetic style of gardening.
[00:10:16 -> 00:10:24]  Those nutrients, there's a big problem with them just washing away or they're being like pH lockout in the soil.
[00:10:24 -> 00:10:34]  Microbes are able to act like a buffer and they're able to deliver nutrition at much wider ranges of pH, especially when you have a good consortia or breakdown of the different microbes that are in there.
[00:10:36 -> 00:10:48]  So, yeah, I mean, microbes are key and in synthetic, it is important to note that like endogenous microorganisms, ones that are just in your yard, in the backyard or in your compost when you brew a compost tea.
[00:10:49 -> 00:10:54]  Most of those don't persist that great in like an agricultural or horticultural system.
[00:10:55 -> 00:11:00]  Just the higher salinity environments, it's much more environmental stress on those microbial populations.
[00:11:01 -> 00:11:10]  But one of the cool things about microbes is you can go through successive generations of breeding them really quickly and kind of select for the environment that you want to be in.
[00:11:10 -> 00:11:12]  And not all microbes are created equal.
[00:11:12 -> 00:11:16]  You can kind of think of them like technology products where someone's Bacillus subtilis.
[00:11:17 -> 00:11:29]  It might say this exact same thing on the label that it's Bacillus subtilis, but there can be a wide variety of different strains of them and how the different environments that they're able to operate in are.
