[00:00:00 -> 00:00:03]  Hallo und herzlich willkommen zurück auf meinem Kanal Judith Jellenaer.
[00:00:03 -> 00:00:06]  Wir werden uns heute mit dem Thema Sticken beschäftigen.
[00:00:18 -> 00:00:25]  Wenn man das Wort Sticken hört, denken glaube ich viele an die Oma, wie sie da saß und die Kästchen gezählt hat.
[00:00:25 -> 00:00:27]  Das ist heutzutage nicht mehr der Fall.
[00:00:27 -> 00:00:34]  Ich war vor kurzem wieder als Kreativexpertin im ARD Buffet eingeladen und habe euch einen Lavendelstrauß mitgebracht.
[00:00:34 -> 00:00:39]  Das ganze Video dazu verlinke ich euch hier, das habe ich nämlich schon mal auch hier auf meinem Kanal gepostet.
[00:00:39 -> 00:00:43]  Und seitdem bekomme ich einige Fragen, wie man denn die anderen Bilder gestalten kann.
[00:00:43 -> 00:00:45]  Sticken kann nämlich absolut modern sein.
[00:00:45 -> 00:00:51]  Ich habe zum Beispiel sehr viele Fragen zu meinem Wine Knot bekommen oder auch zu meinen Blumenbuchstaben.
[00:00:51 -> 00:01:00]  Und deswegen dachte ich mir, ich nehme heute mal ein Basic-Anfänger-Video auf, in dem ich euch die wichtigsten Stickstiche in Ruhe zeige.
[00:01:00 -> 00:01:07]  Zu jedem Stich zeige ich euch dann auch nochmal ein paar Ideen, was ich damit umgesetzt habe, um eure Fantasie so ein bisschen anzuregen.
[00:01:07 -> 00:01:10]  Und ich würde sagen, jetzt geht's los. Ich wünsche euch ganz viel Spaß.
[00:01:10 -> 00:01:16]  Ich habe mir jetzt hier ein Stück alten Vorhang, den ich noch übrig hatte, auf meinen Stickrahmen gespannt.
[00:01:16 -> 00:01:19]  Und schon mal hier mit einem Trickmarker ein bisschen was vorgezeichnet.
[00:01:19 -> 00:01:24]  Ein Trickmarker ist besonders cool, da der in ein paar Tagen von alleine wieder verschwindet.
[00:01:29 -> 00:01:35]  Wir starten mit dem sogenannten Stielstich. Der eignet sich, wie der Name schon verrät, besonders gut für Stiele.
[00:01:35 -> 00:01:41]  Den habe ich aber zum Beispiel auch hier bei meinem Wine Knot für die Umrandung der Schreibschrift verwendet.
[00:01:41 -> 00:01:46]  Mach doch einfach hier einen Doppelknoten rein und dann geht's auch schon los.
