[00:00:00 -> 00:00:03]  NEXT
[00:00:30 -> 00:00:37]  Whether you realize it or not, most of us will have crossed paths with an aeroid at
[00:00:37 -> 00:00:39]  some point in our lives.
[00:00:39 -> 00:00:43]  This odd family of plants has nearly conquered the globe and is absent only from the coldest
[00:00:43 -> 00:00:46]  regions of our planet.
[00:00:46 -> 00:00:50]  Some have even left their land-loving cousins behind for a fully aquatic habit.
[00:00:50 -> 00:00:55]  A racie, as it's known to science, is also a family of superlatives.
[00:00:55 -> 00:00:59]  Aeroids lay claim to both the smallest flowering plant in the world, as well as the largest
[00:00:59 -> 00:01:01]  unbranched inflorescence.
[00:01:01 -> 00:01:05]  It is nearly impossible to make generalizations about this family, but that does not detract
[00:01:05 -> 00:01:11]  from the sense of awe one gets with even the slightest bit of familiarity with these plants.
[00:01:11 -> 00:01:14]  We are heading to the Missouri Botanical Gardens to explore the largest living collection of
[00:01:14 -> 00:01:17]  aeroids in the world and meet a couple of people who have fallen in love with these
[00:01:17 -> 00:01:18]  plants.
[00:01:18 -> 00:01:23]  Dr. Tom Kroett has spent the last 50 years building up this collection and Emily Coletti
[00:01:23 -> 00:01:27]  is the horticulturist in charge of keeping them happy and growing.
[00:01:27 -> 00:01:31]  The combined experience of these two phytophiles is proof of just how special these plants
[00:01:31 -> 00:01:32]  truly are.
[00:01:32 -> 00:01:36]  So join us as we explore this incredible living collection of aeroids and learn about the
[00:01:36 -> 00:01:44]  value living collections like this have for science, horticulture, but most importantly,
[00:01:44 -> 00:01:50]  conservation.
[00:01:50 -> 00:01:54]  There were lots of times when it was really quite dangerous, of course.
[00:01:54 -> 00:01:59]  I mean, when I was in Costa Rica one time, I rolled down the mountain with the road cable
[00:01:59 -> 00:02:00]  way in.
[00:02:00 -> 00:02:06]  We rolled seven times down a mountain with my wife and two kids in the car, in the truck.
[00:02:06 -> 00:02:12]  It was a brand new pickup and it had wings, mirrors sticking out like this.
[00:02:12 -> 00:02:15]  But surprisingly, when we got to the bottom, even the mirrors weren't broken off.
[00:02:15 -> 00:02:21]  We were just rolling through trees, vegetation, this sort of young vegetation.
[00:02:21 -> 00:02:23]  I guess somebody else had rolled off there earlier, perhaps.
[00:02:23 -> 00:02:27]  So it was just like rolling slowly, seven times until it got to the bottom.
[00:02:27 -> 00:02:32]  And then it landed on its side with the back end in the river, the front end hanging on
[00:02:32 -> 00:02:34]  a big stone.
[00:02:34 -> 00:02:37]  And my wife, we both walked out the window because it was gone.
[00:02:37 -> 00:02:39]  The front window was missing.
